Track,RaceNumber,WinnerBox
Casino,1,1
Casino,2,8
Casino,3,7
Casino,4,8
Casino,5,7
Casino,6,8
Casino,7,4
Casino,8,6
Casino,9,3
Casino,10,7
Casino,11,5
Wentworth Park,1,3
Wentworth Park,2,1
Wentworth Park,3,5
Wentworth Park,4,7
Wentworth Park,5,4
Wentworth Park,6,1
Wentworth Park,7,8
Wentworth Park,8,7
Wentworth Park,9,1
Wentworth Park,10,3
Nowra,1,8
Nowra,2,4
Nowra,3,2
Nowra,4,2
Nowra,5,1
Nowra,6,4
Nowra,7,1
Nowra,8,6
Nowra,9,7
Nowra,10,6
Shepparton,1,3
Shepparton,2,8
Shepparton,3,4
Shepparton,4,5
Shepparton,5,1
Shepparton,6,6
Shepparton,7,7
Shepparton,8,4
Shepparton,9,6
Shepparton,10,4
Shepparton,11,6
Shepparton,12,3
Mount Gambier,1,2
Mount Gambier,2,1
Mount Gambier,3,7
Mount Gambier,4,2
Mount Gambier,5,9
Mount Gambier,6,1
Mount Gambier,7,9
Mount Gambier,8,5
Mount Gambier,9,1
Mount Gambier,10,8
Mount Gambier,11,6
Ladbrokes Q Straight,1,4
Ladbrokes Q Straight,2,2
Ladbrokes Q Straight,3,5
Ladbrokes Q Straight,4,6
Ladbrokes Q Straight,5,6
Ladbrokes Q Straight,6,3
Ladbrokes Q Straight,7,1
Ladbrokes Q Straight,8,1
Ladbrokes Q Straight,9,1
Ladbrokes Q Straight,10,5
Warragul,1,3
Warragul,2,6
Warragul,3,7
Warragul,4,4
Warragul,5,3
Warragul,6,3
Warragul,7,4
Warragul,8,8
Warragul,9,3
Warragul,10,1
Warragul,11,6
Warragul,12,2
Warrnambool,1,8
Warrnambool,2,8
Warrnambool,3,6
Warrnambool,4,8
Warrnambool,5,1
Warrnambool,6,2
Warrnambool,7,1
Warrnambool,8,7
Warrnambool,9,6
Warrnambool,10,6
Warrnambool,11,5
Warrnambool,12,1
Meadows,1,1
Meadows,2,1
Meadows,3,7
Meadows,4,5
Meadows,5,6
Meadows,6,8
Meadows,7,2
Meadows,8,2
Meadows,9,1
Meadows,10,1
Meadows,11,1
Meadows,12,4
Angle Park,1,6
Angle Park,2,1
Angle Park,3,6
Angle Park,4,1
Angle Park,5,1
Angle Park,6,1
Angle Park,7,2
Angle Park,8,7
Angle Park,9,1
Angle Park,10,2
Angle Park,11,1
Angle Park,12,5
Hobart,1,4
Hobart,2,8
Hobart,3,3
Hobart,4,5
Hobart,5,4
Hobart,6,6
Hobart,7,1
Hobart,8,2
Hobart,9,6
Hobart,10,5
Ladbrokes Q2 Parklands,1,4
Ladbrokes Q2 Parklands,2,8
Ladbrokes Q2 Parklands,3,1
Ladbrokes Q2 Parklands,4,2
Ladbrokes Q2 Parklands,5,7
Ladbrokes Q2 Parklands,6,1
Ladbrokes Q2 Parklands,7,5
Ladbrokes Q2 Parklands,8,4
Ladbrokes Q2 Parklands,9,4
Ladbrokes Q2 Parklands,10,2
Ladbrokes Q2 Parklands,11,3
Mandurah,1,8
Mandurah,2,5
Mandurah,3,1
Mandurah,4,2
Mandurah,5,7
Mandurah,6,6
Mandurah,7,7
Mandurah,8,1
Mandurah,9,7
Mandurah,10,8
Mandurah,11,1
