Track,Race,Winner,FullResult
Goulburn,1,8,8762
Goulburn,2,1,1538
Goulburn,3,4,4712
Goulburn,4,6,6821
Goulburn,5,1,1548
Goulburn,6,4,4513
Goulburn,7,1,1428
Goulburn,8,2,2316
Goulburn,9,8,8742
Goulburn,10,1,1487
Goulburn,11,1,1237
Goulburn,12,6,6157
Ladbrokes Gardens,1,5,5172
Ladbrokes Gardens,2,4,4617
Ladbrokes Gardens,4,6,6142
Ladbrokes Gardens,5,4,4812
Ladbrokes Gardens,6,4,4521
Ladbrokes Gardens,7,1,1523
Ladbrokes Gardens,8,8,8623
Ladbrokes Gardens,9,2,2143
Ladbrokes Gardens,10,1,1597
Ladbrokes Gardens,11,7,7231
Ladbrokes Gardens,12,1,1278
Richmond,1,5,5268
Richmond,2,5,5478
Richmond,3,4,4216
Richmond,4,3,3174
Richmond,5,7,7842
Richmond,7,6,6134
Richmond,8,4,4752
Richmond,9,3,3142
Richmond,10,2,2163
Richmond,11,4,4521
Wagga,1,1,1365
Wagga,2,1,1872
Wagga,3,8,8751
Wagga,4,4,4572
Wagga,5,8,8217
Wagga,6,2,2175
Wagga,7,8,8371
Wagga,8,2,2547
Wagga,9,1,1386
Wagga,10,5,5367
Wagga,11,8,8753
Healesville,1,6,6172
Healesville,2,8,8631
Healesville,3,7,78105
Healesville,4,2,2185
Healesville,5,5,5471
Healesville,6,7,7451
Healesville,7,5,5218
Healesville,8,8,8512
Healesville,9,7,7684
Healesville,10,2,2876
Healesville,11,7,7413
Healesville,12,6,6783
Gawler,1,6,6218
Gawler,2,8,8146
Gawler,3,7,7428
Gawler,4,3,3175
Gawler,5,1,1468
Gawler,6,1,1468
Gawler,7,7,7528
Gawler,8,1,1782
Gawler,9,7,7154
Bet Nation Townsville,1,1,1547
Bet Nation Townsville,2,7,7354
Bet Nation Townsville,3,8,8132
Bet Nation Townsville,4,1,1238
Bet Nation Townsville,5,4,4168
Bet Nation Townsville,6,2,2813
Bet Nation Townsville,7,3,3418
Bet Nation Townsville,8,4,4781
Bet Nation Townsville,9,3,3256
Bet Nation Townsville,10,4,4271
Bet Nation Townsville,11,5,5284
Warragul,1,2,2356
Warragul,2,3,3268
Warragul,3,7,7281
Warragul,4,8,8754
Warragul,5,1,1436
Warragul,6,6,6518
Warragul,7,4,4682
Warragul,8,2,2718
Warragul,9,3,3851
Warragul,10,2,2513
Warragul,11,1,1245
Warragul,12,1,1572
Ladbrokes Q1 Lakeside,1,3,3215
Ladbrokes Q1 Lakeside,2,8,8274
Ladbrokes Q1 Lakeside,3,5,5782
Ladbrokes Q1 Lakeside,4,3,3846
Ladbrokes Q1 Lakeside,5,4,4361
Ladbrokes Q1 Lakeside,6,8,8276
Ladbrokes Q1 Lakeside,7,1,1753
Ladbrokes Q1 Lakeside,8,3,3589
Ladbrokes Q1 Lakeside,9,5,5289
Ladbrokes Q1 Lakeside,10,1,1625
Ladbrokes Q1 Lakeside,11,7,7865
Ladbrokes Q1 Lakeside,12,3,3218
Bendigo,1,1,1286
Bendigo,2,4,4863
Bendigo,3,4,4871
Bendigo,4,5,5671
Bendigo,5,1,1648
Bendigo,6,8,8617
Bendigo,7,1,1345
Bendigo,8,5,5461
Bendigo,9,2,2643
Bendigo,10,8,8417
Bendigo,11,3,3624
Bendigo,12,1,1684
Meadows,1,8,8346
Meadows,2,8,8714
Meadows,3,3,3271
Meadows,4,2,2341
Meadows,5,2,2653
Meadows,6,1,1482
Meadows,7,7,7623
Meadows,8,2,2734
Meadows,9,4,4716
Meadows,10,7,72103
Meadows,11,4,4356
Meadows,12,1,1458
Mandurah,1,2,2143
Mandurah,2,7,7451
Mandurah,3,6,6347
Mandurah,4,6,6724
Mandurah,5,7,7582
Mandurah,6,6,6831
Mandurah,7,4,4167
Mandurah,8,2,2854
Mandurah,9,8,8436
Mandurah,10,5,5872
Mandurah,11,1,1287
