Track,Race,Winner
Temora,1,8
Temora,2,3
Temora,3,2
Temora,4,4
Temora,5,7
Temora,6,6
Temora,7,8
Temora,8,5
Temora,9,5
Temora,10,6
Temora,11,8
Temora,12,2
Gunnedah,1,3
Gunnedah,2,1
Gunnedah,3,8
Gunnedah,4,7
Gunnedah,5,3
Gunnedah,6,8
Gunnedah,7,1
Gunnedah,8,6
Gunnedah,9,2
Gunnedah,10,7
Gunnedah,11,7
Gunnedah,12,3
Taree,1,6
Taree,2,6
Taree,3,7
Taree,4,1
Taree,5,6
Taree,6,5
Taree,7,8
Taree,8,1
Taree,9,2
Taree,10,5
Taree,11,8
Taree,12,3
Richmond,1,4
Richmond,2,2
Richmond,3,2
Richmond,4,1
Richmond,5,1
Richmond,6,6
Richmond,7,4
Richmond,8,3
Richmond,9,7
Richmond,10,8
Richmond,11,1
Sale,1,6
Sale,2,8
Sale,3,3
Sale,4,6
Sale,5,4
Sale,6,7
Sale,7,1
Sale,8,1
Sale,9,1
Sale,10,6
Sale,11,1
Sale,12,6
Gawler,1,5
Gawler,2,8
Gawler,3,8
Gawler,4,3
Gawler,5,3
Gawler,6,7
Gawler,7,4
Gawler,8,3
Gawler,9,1
Gawler,10,1
BetDeluxe Capalaba,1,4
BetDeluxe Capalaba,2,2
BetDeluxe Capalaba,3,1
BetDeluxe Capalaba,4,5
BetDeluxe Capalaba,5,8
BetDeluxe Capalaba,6,6
BetDeluxe Capalaba,7,4
BetDeluxe Capalaba,8,6
BetDeluxe Capalaba,9,4
BetDeluxe Capalaba,10,8
Bendigo,1,4
Bendigo,2,3
Bendigo,3,7
Bendigo,4,1
Bendigo,5,8
Bendigo,6,3
Bendigo,7,3
Bendigo,8,2
Bendigo,9,4
Bendigo,10,4
Bendigo,11,1
Bendigo,12,1
Ladbrokes Q1 Lakeside,1,2
Ladbrokes Q1 Lakeside,2,7
Ladbrokes Q1 Lakeside,3,7
Ladbrokes Q1 Lakeside,4,6
Ladbrokes Q1 Lakeside,5,3
Ladbrokes Q1 Lakeside,6,4
Ladbrokes Q1 Lakeside,7,1
Ladbrokes Q1 Lakeside,8,7
Ladbrokes Q1 Lakeside,9,2
Ladbrokes Q1 Lakeside,10,5
Ladbrokes Q1 Lakeside,11,7
Ladbrokes Q1 Lakeside,12,2
Warrnambool,1,2
Warrnambool,2,2
Warrnambool,3,6
Warrnambool,4,2
Warrnambool,5,1
Warrnambool,6,2
Warrnambool,7,4
Warrnambool,8,4
Warrnambool,9,3
Warrnambool,10,4
Warrnambool,11,1
Warrnambool,12,2
Meadows,1,7
Meadows,2,5
Meadows,3,1
Meadows,4,2
Meadows,5,2
Meadows,6,6
Meadows,7,4
Meadows,8,3
Meadows,9,3
Meadows,10,2
Meadows,11,1
Meadows,12,4
BetDeluxe Rockhampton,1,8
BetDeluxe Rockhampton,2,1
BetDeluxe Rockhampton,3,2
BetDeluxe Rockhampton,4,5
BetDeluxe Rockhampton,5,8
BetDeluxe Rockhampton,6,2
BetDeluxe Rockhampton,7,4
Cannington,1,1
Cannington,2,1
Cannington,3,2
Cannington,4,8
Cannington,5,1
Cannington,6,2
Cannington,7,1
Cannington,8,2
Cannington,9,2
Cannington,10,1
Cannington,11,2
Cannington,12,1
