Track,Date,Race,Winner
Richmond Straight,2025-12-04,R1,6
Richmond Straight,2025-12-04,R2,5
Richmond Straight,2025-12-04,R3,2
Richmond Straight,2025-12-04,R4,1
Richmond Straight,2025-12-04,R5,6
Richmond Straight,2025-12-04,R6,8
Richmond Straight,2025-12-04,R7,3
Richmond Straight,2025-12-04,R8,1
Richmond Straight,2025-12-04,R9,4
Richmond Straight,2025-12-04,R10,8
Richmond Straight,2025-12-04,R11,7
Richmond Straight,2025-12-04,R12,3
Nowra,2025-12-04,R1,1
Nowra,2025-12-04,R2,4
Nowra,2025-12-04,R3,5
Nowra,2025-12-04,R4,3
Nowra,2025-12-04,R5,1
Nowra,2025-12-04,R6,1
Nowra,2025-12-04,R7,1
Nowra,2025-12-04,R8,5
Nowra,2025-12-04,R9,4
Nowra,2025-12-04,R10,3
Nowra,2025-12-04,R11,8
Casino,2025-12-04,R1,5
Casino,2025-12-04,R2,1
Casino,2025-12-04,R3,4
Casino,2025-12-04,R4,1
Casino,2025-12-04,R5,4
Casino,2025-12-04,R6,4
Casino,2025-12-04,R7,1
Casino,2025-12-04,R8,3
Casino,2025-12-04,R9,1
Casino,2025-12-04,R10,1
Wentworth Park,2025-12-04,R1,2
Wentworth Park,2025-12-04,R2,5
Wentworth Park,2025-12-04,R3,6
Wentworth Park,2025-12-04,R4,5
Wentworth Park,2025-12-04,R5,5
Wentworth Park,2025-12-04,R6,6
Wentworth Park,2025-12-04,R7,8
Wentworth Park,2025-12-04,R8,7
Wentworth Park,2025-12-04,R9,8
Wentworth Park,2025-12-04,R10,3
Shepparton,2025-12-04,R1,5
Shepparton,2025-12-04,R2,6
Shepparton,2025-12-04,R3,3
Shepparton,2025-12-04,R4,1
Shepparton,2025-12-04,R5,3
Shepparton,2025-12-04,R6,8
Shepparton,2025-12-04,R7,1
Shepparton,2025-12-04,R8,4
Shepparton,2025-12-04,R9,2
Shepparton,2025-12-04,R10,6
Shepparton,2025-12-04,R11,3
Shepparton,2025-12-04,R12,1
Mount Gambier,2025-12-04,R1,1
Mount Gambier,2025-12-04,R2,4
Mount Gambier,2025-12-04,R3,1
Mount Gambier,2025-12-04,R4,4
Mount Gambier,2025-12-04,R5,7
Mount Gambier,2025-12-04,R6,5
Mount Gambier,2025-12-04,R7,2
Mount Gambier,2025-12-04,R8,2
Mount Gambier,2025-12-04,R9,4
Mount Gambier,2025-12-04,R10,8
Mount Gambier,2025-12-04,R11,1
Mount Gambier,2025-12-04,R12,2
Ladbrokes Q Straight,2025-12-04,R1,3
Ladbrokes Q Straight,2025-12-04,R2,9
Ladbrokes Q Straight,2025-12-04,R3,6
Ladbrokes Q Straight,2025-12-04,R4,6
Ladbrokes Q Straight,2025-12-04,R5,1
Ladbrokes Q Straight,2025-12-04,R6,3
Ladbrokes Q Straight,2025-12-04,R7,7
Ladbrokes Q Straight,2025-12-04,R8,7
Ladbrokes Q Straight,2025-12-04,R9,7
Ladbrokes Q Straight,2025-12-04,R10,6
