Date,Track,RaceNum,Winner
2025-12-10,Temora,1,6
2025-12-10,Temora,2,3
2025-12-10,Temora,3,1
2025-12-10,Temora,4,1
2025-12-10,Temora,5,7
2025-12-10,Temora,6,1
2025-12-10,Temora,7,6
2025-12-10,Temora,8,2
2025-12-10,Temora,9,2
2025-12-10,Temora,10,5
2025-12-10,Taree,1,4
2025-12-10,Taree,2,1
2025-12-10,Taree,3,5
2025-12-10,Taree,4,4
2025-12-10,Taree,5,2
2025-12-10,Taree,6,1
2025-12-10,Taree,7,5
2025-12-10,Taree,8,6
2025-12-10,Taree,9,7
2025-12-10,Taree,10,1
2025-12-10,Taree,11,5
2025-12-10,Taree,12,5
2025-12-10,Gunnedah,1,1
2025-12-10,Gunnedah,2,5
2025-12-10,Gunnedah,3,1
2025-12-10,Gunnedah,4,2
2025-12-10,Gunnedah,5,2
2025-12-10,Gunnedah,6,8
2025-12-10,Gunnedah,7,2
2025-12-10,Gunnedah,8,2
2025-12-10,Gunnedah,9,2
2025-12-10,Gunnedah,10,6
2025-12-10,Gunnedah,11,6
2025-12-10,Gunnedah,12,5
2025-12-10,Richmond,1,5
2025-12-10,Richmond,2,1
2025-12-10,Richmond,3,3
2025-12-10,Richmond,4,7
2025-12-10,Richmond,5,5
2025-12-10,Richmond,6,10
2025-12-10,Richmond,7,6
2025-12-10,Richmond,8,4
2025-12-10,Richmond,9,7
2025-12-10,Richmond,10,1
2025-12-10,Richmond,11,2
2025-12-10,Sale,1,2
2025-12-10,Sale,2,6
2025-12-10,Sale,3,5
2025-12-10,Sale,4,3
2025-12-10,Sale,5,8
2025-12-10,Sale,6,1
2025-12-10,Sale,7,7
2025-12-10,Sale,8,2
2025-12-10,Sale,9,6
2025-12-10,Sale,10,5
2025-12-10,Sale,11,5
2025-12-10,Sale,12,7
2025-12-10,Gawler,1,4
2025-12-10,Gawler,2,8
2025-12-10,Gawler,3,5
2025-12-10,Gawler,4,1
2025-12-10,Gawler,5,4
2025-12-10,Gawler,6,4
2025-12-10,Gawler,7,5
2025-12-10,Gawler,8,1
2025-12-10,Gawler,9,1
2025-12-10,Gawler,10,2
2025-12-10,BetDeluxe Capalaba,1,5
2025-12-10,BetDeluxe Capalaba,2,8
2025-12-10,BetDeluxe Capalaba,3,2
2025-12-10,BetDeluxe Capalaba,4,8
2025-12-10,BetDeluxe Capalaba,5,8
2025-12-10,BetDeluxe Capalaba,6,4
2025-12-10,BetDeluxe Capalaba,7,7
2025-12-10,BetDeluxe Capalaba,8,4
2025-12-10,BetDeluxe Capalaba,9,1
2025-12-10,BetDeluxe Capalaba,10,7
2025-12-10,BetDeluxe Capalaba,11,2
2025-12-10,Bendigo,1,8
2025-12-10,Bendigo,2,6
2025-12-10,Bendigo,3,3
2025-12-10,Bendigo,4,2
2025-12-10,Bendigo,5,1
2025-12-10,Bendigo,6,8
2025-12-10,Bendigo,7,6
2025-12-10,Bendigo,8,1
2025-12-10,Bendigo,9,5
2025-12-10,Bendigo,10,1
2025-12-10,Bendigo,11,8
2025-12-10,Bendigo,12,8
2025-12-10,Ladbrokes Q1 Lakeside,1,5
2025-12-10,Ladbrokes Q1 Lakeside,2,3
2025-12-10,Ladbrokes Q1 Lakeside,3,8
2025-12-10,Ladbrokes Q1 Lakeside,4,4
2025-12-10,Ladbrokes Q1 Lakeside,5,1
2025-12-10,Ladbrokes Q1 Lakeside,6,4
2025-12-10,Ladbrokes Q1 Lakeside,7,4
2025-12-10,Ladbrokes Q1 Lakeside,8,4
2025-12-10,Ladbrokes Q1 Lakeside,9,5
2025-12-10,Ladbrokes Q1 Lakeside,10,8
2025-12-10,Ladbrokes Q1 Lakeside,11,8
2025-12-10,Ladbrokes Q1 Lakeside,12,7
2025-12-10,Ballarat,1,1
2025-12-10,Ballarat,2,1
