Track,Date,RaceNumber,Winner
Goulburn,2025-12-19,1,2.0
Goulburn,2025-12-19,2,2.0
Goulburn,2025-12-19,3,1.0
Goulburn,2025-12-19,4,1.0
Goulburn,2025-12-19,6,2.0
Goulburn,2025-12-19,7,7.0
Goulburn,2025-12-19,8,4.0
Goulburn,2025-12-19,9,7.0
Goulburn,2025-12-19,10,8.0
Goulburn,2025-12-19,11,4.0
Ladbrokes Gardens,2025-12-19,1,6.0
Ladbrokes Gardens,2025-12-19,2,1.0
Ladbrokes Gardens,2025-12-19,3,7.0
Ladbrokes Gardens,2025-12-19,4,4.0
Ladbrokes Gardens,2025-12-19,5,6.0
Ladbrokes Gardens,2025-12-19,6,7.0
Ladbrokes Gardens,2025-12-19,7,2.0
Ladbrokes Gardens,2025-12-19,8,3.0
Ladbrokes Gardens,2025-12-19,9,7.0
Ladbrokes Gardens,2025-12-19,10,1.0
Ladbrokes Gardens,2025-12-19,11,4.0
Ladbrokes Gardens,2025-12-19,12,2.0
Richmond Straight,2025-12-19,1,3.0
Richmond Straight,2025-12-19,2,1.0
Richmond Straight,2025-12-19,3,8.0
Richmond Straight,2025-12-19,4,7.0
Richmond Straight,2025-12-19,5,1.0
Richmond Straight,2025-12-19,6,6.0
Richmond Straight,2025-12-19,7,2.0
Richmond Straight,2025-12-19,8,3.0
Richmond Straight,2025-12-19,9,6.0
Richmond Straight,2025-12-19,10,1.0
Richmond Straight,2025-12-19,11,2.0
Richmond Straight,2025-12-19,12,8.0
Wagga,2025-12-19,1,3.0
Wagga,2025-12-19,2,3.0
Wagga,2025-12-19,3,1.0
Wagga,2025-12-19,4,2.0
Wagga,2025-12-19,5,2.0
Wagga,2025-12-19,6,5.0
Wagga,2025-12-19,7,1.0
Wagga,2025-12-19,8,1.0
Wagga,2025-12-19,9,3.0
Wagga,2025-12-19,10,3.0
Healesville,2025-12-19,1,2.0
Healesville,2025-12-19,2,7.0
Healesville,2025-12-19,3,1.0
Healesville,2025-12-19,4,3.0
Healesville,2025-12-19,5,3.0
Healesville,2025-12-19,6,1.0
Healesville,2025-12-19,7,2.0
Healesville,2025-12-19,8,7.0
Healesville,2025-12-19,9,3.0
Healesville,2025-12-19,10,3.0
Healesville,2025-12-19,11,2.0
Healesville,2025-12-19,12,6.0
Murray Bridge,2025-12-19,1,2.0
Murray Bridge,2025-12-19,2,2.0
Murray Bridge,2025-12-19,3,5.0
Murray Bridge,2025-12-19,4,5.0
Murray Bridge,2025-12-19,5,6.0
Murray Bridge,2025-12-19,6,1.0
Murray Bridge,2025-12-19,7,4.0
Murray Bridge,2025-12-19,8,4.0
Ladbrokes Q1 Lakeside,2025-12-19,1,3.0
Ladbrokes Q1 Lakeside,2025-12-19,2,3.0
Ladbrokes Q1 Lakeside,2025-12-19,3,8.0
Ladbrokes Q1 Lakeside,2025-12-19,4,4.0
Ladbrokes Q1 Lakeside,5,5,
Ladbrokes Q1 Lakeside,2025-12-19,6,8.0
Ladbrokes Q1 Lakeside,2025-12-19,7,7.0
Ladbrokes Q1 Lakeside,2025-12-19,8,2.0
Ladbrokes Q1 Lakeside,2025-12-19,9,1.0
Ladbrokes Q1 Lakeside,2025-12-19,10,1.0
Ladbrokes Q1 Lakeside,2025-12-19,11,4.0
Ladbrokes Q1 Lakeside,2025-12-19,12,8.0
Sale,2025-12-19,1,4.0
Sale,2025-12-19,2,7.0
Sale,2025-12-19,3,5.0
Sale,2025-12-19,4,7.0
Sale,2025-12-19,5,3.0
Sale,2025-12-19,6,2.0
Sale,2025-12-19,7,3.0
Sale,2025-12-19,8,5.0
Sale,2025-12-19,9,2.0
Sale,2025-12-19,10,1.0
Sale,2025-12-19,11,3.0
Sale,2025-12-19,12,4.0
Geelong,2025-12-19,1,8.0
Geelong,2025-12-19,2,4.0
Geelong,2025-12-19,3,2.0
Geelong,2025-12-19,4,3.0
Geelong,2025-12-19,5,5.0
Geelong,2025-12-19,6,2.0
Geelong,2025-12-19,7,3.0
Geelong,2025-12-19,8,4.0
Geelong,2025-12-19,9,8.0
Geelong,2025-12-19,10,1.0
Geelong,2025-12-19,11,1.0
Geelong,2025-12-19,12,8.0
Bendigo,2025-12-19,1,7.0
Bendigo,2025-12-19,2,8.0
Bendigo,2025-12-19,3,5.0
Bendigo,2025-12-19,4,2.0
Bendigo,2025-12-19,5,4.0
Bendigo,2025-12-19,6,2.0
Bendigo,2025-12-19,7,5.0
Bendigo,2025-12-19,8,3.0
Bendigo,2025-12-19,9,4.0
Bendigo,2025-12-19,10,8.0
Bendigo,2025-12-19,11,6.0
Bendigo,2025-12-19,12,7.0
Mandurah,2025-12-19,1,6.0
Mandurah,2025-12-19,2,2.0
Mandurah,2025-12-19,3,4.0
Mandurah,2025-12-19,4,7.0
Mandurah,2025-12-19,5,2.0
Mandurah,2025-12-19,6,8.0
Mandurah,2025-12-19,7,6.0
Mandurah,2025-12-19,8,3.0
Mandurah,2025-12-19,9,2.0
Mandurah,2025-12-19,10,7.0
Mandurah,2025-12-19,11,1.0
Mandurah,2025-12-19,12,1.0
