Date,Track,Race,Position1,Position2,Position3,Position4,Position5,Position6,Position7,Position8,Position9,Position10
2025-12-20,Taree,R1,6,3,8,7,,,,,,
2025-12-20,Taree,R2,3,1,7,4,,,,,,
2025-12-20,Taree,R3,2,1,8,6,,,,,,
2025-12-20,Taree,R4,5,6,8,7,,,,,,
2025-12-20,Taree,R5,7,8,4,6,,,,,,
2025-12-20,Taree,R6,3,4,8,5,,,,,,
2025-12-20,Taree,R7,2,1,7,5,,,,,,
2025-12-20,Taree,R8,1,7,3,4,,,,,,
2025-12-20,Taree,R9,5,3,2,6,,,,,,
2025-12-20,Taree,R10,4,8,1,6,,,,,,
2025-12-20,Taree,R11,4,5,6,1,,,,,,
2025-12-20,Taree,R12,1,2,6,7,,,,,,
2025-12-20,Ladbrokes Gardens,R1,7,6,3,1,,,,,,
2025-12-20,Ladbrokes Gardens,R2,2,6,7,8,,,,,,
2025-12-20,Ladbrokes Gardens,R3,2,5,8,7,,,,,,
2025-12-20,Ladbrokes Gardens,R4,3,2,4,7,,,,,,
2025-12-20,Ladbrokes Gardens,R5,1,7,4,8,,,,,,
2025-12-20,Ladbrokes Gardens,R6,2,4,7,5,,,,,,
2025-12-20,Ladbrokes Gardens,R7,1,2,4,7,,,,,,
2025-12-20,Ladbrokes Gardens,R8,2,3,4,6,,,,,,
2025-12-20,Ladbrokes Gardens,R9,5,1,4,3,,,,,,
2025-12-20,Ladbrokes Gardens,R10,3,1,4,6,,,,,,
2025-12-20,Ladbrokes Gardens,R11,2,1,3,4,,,,,,
2025-12-20,Ladbrokes Gardens,R12,3,1,8,6,,,,,,
2025-12-20,Dubbo,R1,3,6,4,1,,,,,,
2025-12-20,Dubbo,R2,8,3,1,4,,,,,,
2025-12-20,Dubbo,R3,1,2,5,7,,,,,,
2025-12-20,Dubbo,R4,4,1,7,3,,,,,,
2025-12-20,Dubbo,R5,7,2,6,3,,,,,,
2025-12-20,Dubbo,R6,3,5,1,7,,,,,,
2025-12-20,Dubbo,R7,2,1,3,5,,,,,,
2025-12-20,Dubbo,R8,4,1,5,7,,,,,,
2025-12-20,Dubbo,R9,1,3,4,8,,,,,,
2025-12-20,Dubbo,R10,7,6,4,3,,,,,,
2025-12-20,Dubbo,R11,1,6,7,3,,,,,,
2025-12-20,Dubbo,R12,8,5,1,7,,,,,,
2025-12-20,Wentworth Park,R1,5,6,2,8,,,,,,
2025-12-20,Wentworth Park,R2,3,4,8,6,,,,,,
2025-12-20,Wentworth Park,R3,6,4,7,3,,,,,,
2025-12-20,Wentworth Park,R4,1,6,7,2,,,,,,
2025-12-20,Wentworth Park,R5,7,2,4,6,,,,,,
2025-12-20,Wentworth Park,R6,4,5,2,8,,,,,,
2025-12-20,Wentworth Park,R7,4,3,1,8,,,,,,
2025-12-20,Wentworth Park,R8,1,2,8,3,,,,,,
2025-12-20,Wentworth Park,R9,4,6,1,2,,,,,,
2025-12-20,Wentworth Park,R10,8,4,7,2,,,,,,
2025-12-20,Angle Park,R1,1,2,4,8,,,,,,
2025-12-20,Angle Park,R2,3,8,6,2,,,,,,
2025-12-20,Angle Park,R3,4,3,5,9,,,,,,
2025-12-20,Angle Park,R4,7,5,9,4,,,,,,
2025-12-20,Angle Park,R5,1,4,5,8,,,,,,
2025-12-20,Angle Park,R6,2,8,5,4,,,,,,
2025-12-20,Angle Park,R7,1,6,3,7,,,,,,
2025-12-20,Angle Park,R8,7,3,1,2,,,,,,
