Date,Track,RaceNumber,Position1,Position2,Position3,Position4,Position5,Position6,Position7,Position8,Position9,Position10
2025-12-31,Temora,R1,4,7,8,1,,,,,,
2025-12-31,Temora,R2,3,8,1,5,,,,,,
2025-12-31,Temora,R3,1,2,6,3,,,,,,
2025-12-31,Temora,R4,4,7,5,8,,,,,,
2025-12-31,Temora,R5,1,3,2,5,,,,,,
2025-12-31,Temora,R6,7,1,8,5,,,,,,
2025-12-31,Temora,R7,4,5,6,8,,,,,,
2025-12-31,Temora,R8,8,7,5,1,,,,,,
2025-12-31,Temora,R9,5,1,2,3,,,,,,
2025-12-31,Temora,R10,1,3,7,6,,,,,,
2025-12-31,Temora,R11,1,3,8,5,,,,,,
2025-12-31,Temora,R12,8,6,1,5,,,,,,
2025-12-31,Taree,R1,5,1,2,8,,,,,,
2025-12-31,Taree,R2,2,8,5,3,,,,,,
2025-12-31,Taree,R3,8,3,7,2,,,,,,
2025-12-31,Taree,R4,5,1,2,3,,,,,,
2025-12-31,Taree,R5,4,5,3,2,,,,,,
2025-12-31,Taree,R6,4,5,3,1,,,,,,
2025-12-31,Taree,R7,4,1,7,2,,,,,,
2025-12-31,Taree,R8,3,2,1,4,,,,,,
2025-12-31,Taree,R9,5,2,7,1,,,,,,
2025-12-31,Taree,R10,8,2,1,7,,,,,,
2025-12-31,Taree,R11,5,2,8,3,,,,,,
2025-12-31,Taree,R12,2,8,4,5,,,,,,
2025-12-31,Gunnedah,R1,8,4,5,1,,,,,,
2025-12-31,Gunnedah,R2,5,1,2,8,,,,,,
2025-12-31,Gunnedah,R3,9,4,3,8,,,,,,
2025-12-31,Gunnedah,R4,2,3,8,1,,,,,,
2025-12-31,Gunnedah,R5,2,4,3,8,,,,,,
2025-12-31,Gunnedah,R6,2,4,8,7,,,,,,
2025-12-31,Gunnedah,R7,3,4,6,1,,,,,,
2025-12-31,Gunnedah,R8,1,5,2,3,,,,,,
2025-12-31,Gunnedah,R9,7,3,1,4,,,,,,
2025-12-31,Gunnedah,R10,1,4,2,8,,,,,,
2025-12-31,Gunnedah,R11,3,4,2,5,,,,,,
2025-12-31,Gunnedah,R12,2,8,1,7,,,,,,
2025-12-31,Richmond,R1,1,5,2,8,,,,,,
2025-12-31,Richmond,R2,4,5,2,7,,,,,,
2025-12-31,Richmond,R3,1,2,3,6,,,,,,
2025-12-31,Richmond,R4,3,1,6,2,,,,,,
2025-12-31,Richmond,R5,2,1,9,7,,,,,,
2025-12-31,Richmond,R6,5,1,4,7,,,,,,
2025-12-31,Richmond,R7,1,7,6,8,,,,,,
2025-12-31,Richmond,R8,3,6,7,1,,,,,,
2025-12-31,Richmond,R9,3,7,1,8,,,,,,
2025-12-31,Richmond,R10,4,1,3,7,,,,,,
2025-12-31,Richmond,R11,7,2,6,4,,,,,,
2025-12-31,Richmond,R12,6,4,2,7,,,,,,
2025-12-31,BetDeluxe Capalaba,R1,9,1,5,3,,,,,,
2025-12-31,BetDeluxe Capalaba,R2,7,6,3,5,,,,,,
2025-12-31,BetDeluxe Capalaba,R3,6,3,5,1,,,,,,
2025-12-31,BetDeluxe Capalaba,R4,6,2,7,4,,,,,,
2025-12-31,BetDeluxe Capalaba,R5,7,3,1,5,,,,,,
2025-12-31,BetDeluxe Capalaba,R6,3,8,5,1,,,,,,
2025-12-31,BetDeluxe Capalaba,R7,2,6,5,1,,,,,,
2025-12-31,BetDeluxe Capalaba,R8,10,5,8,2,,,,,,
2025-12-31,BetDeluxe Capalaba,R9,8,3,7,1,,,,,,
2025-12-31,BetDeluxe Capalaba,R10,8,6,1,2,,,,,,
2025-12-31,Sale,R1,7,2,8,3,,,,,,
2025-12-31,Sale,R2,7,8,1,3,,,,,,
2025-12-31,Sale,R3,3,7,4,1,,,,,,
2025-12-31,Sale,R4,7,3,5,4,,,,,,
2025-12-31,Sale,R5,2,7,6,5,,,,,,
2025-12-31,Sale,R6,8,3,5,7,,,,,,
2025-12-31,Sale,R7,6,2,5,3,,,,,,
2025-12-31,Sale,R8,4,8,5,2,,,,,,
2025-12-31,Sale,R9,8,4,2,6,,,,,,
2025-12-31,Sale,R10,7,5,2,8,,,,,,
2025-12-31,Sale,R11,7,3,2,1,,,,,,
2025-12-31,Sale,R12,3,8,2,1,,,,,,
2025-12-31,Gawler,R1,2,4,7,1,,,,,,
2025-12-31,Gawler,R2,8,7,2,5,,,,,,
2025-12-31,Gawler,R3,1,6,4,2,,,,,,
2025-12-31,Gawler,R4,8,6,2,4,,,,,,
2025-12-31,Gawler,R5,2,4,7,1,,,,,,
2025-12-31,Gawler,R6,4,7,1,2,,,,,,
2025-12-31,Gawler,R7,1,2,5,7,,,,,,
2025-12-31,Gawler,R8,8,1,5,2,,,,,,
2025-12-31,Gawler,R9,1,4,2,8,,,,,,
2025-12-31,Gawler,R10,7,5,1,4,,,,,,
2025-12-31,Ladbrokes Q1 Lakeside,R1,7,2,8,6,,,,,,
2025-12-31,Ladbrokes Q1 Lakeside,R2,8,5,4,2,,,,,,
2025-12-31,Ladbrokes Q1 Lakeside,R3,1,3,7,8,,,,,,
2025-12-31,Ladbrokes Q1 Lakeside,R4,3,4,2,1,,,,,,
2025-12-31,Ladbrokes Q1 Lakeside,R5,6,7,3,2,,,,,,
2025-12-31,Ladbrokes Q1 Lakeside,R6,7,4,1,2,,,,,,
2025-12-31,Ladbrokes Q1 Lakeside,R7,2,6,3,8,,,,,,
2025-12-31,Ladbrokes Q1 Lakeside,R8,2,3,1,4,,,,,,
2025-12-31,Ladbrokes Q1 Lakeside,R9,4,6,2,5,,,,,,
