Date,Track,RaceNumber,WinningBox
2026-01-04,Richmond,1,8
2026-01-04,Richmond,2,4
2026-01-04,Richmond,3,4
2026-01-04,Richmond,4,1
2026-01-04,Richmond,5,8
2026-01-04,Richmond,6,2
2026-01-04,Richmond,7,5
2026-01-04,Richmond,8,8
2026-01-04,Richmond,9,9
2026-01-04,Richmond,10,8
2026-01-04,Richmond,11,7
2026-01-04,Richmond,12,7
2026-01-04,Grafton,1,6
2026-01-04,Grafton,2,7
2026-01-04,Grafton,3,4
2026-01-04,Grafton,4,7
2026-01-04,Grafton,5,1
2026-01-04,Grafton,6,3
2026-01-04,Grafton,7,6
2026-01-04,Grafton,8,2
2026-01-04,Grafton,9,6
2026-01-04,Grafton,10,5
2026-01-04,Grafton,11,8
2026-01-04,Grafton,12,2
2026-01-04,Healesville,1,5
2026-01-04,Healesville,2,4
2026-01-04,Healesville,3,2
2026-01-04,Healesville,4,6
2026-01-04,Healesville,5,1
2026-01-04,Healesville,6,7
2026-01-04,Healesville,7,2
2026-01-04,Healesville,8,5
2026-01-04,Healesville,9,4
2026-01-04,Healesville,10,1
2026-01-04,Healesville,11,2
2026-01-04,Healesville,12,1
2026-01-04,BetDeluxe Capalaba,1,1
2026-01-04,BetDeluxe Capalaba,2,7
2026-01-04,BetDeluxe Capalaba,3,8
2026-01-04,BetDeluxe Capalaba,4,5
2026-01-04,BetDeluxe Capalaba,5,1
2026-01-04,BetDeluxe Capalaba,6,5
2026-01-04,BetDeluxe Capalaba,7,1
2026-01-04,BetDeluxe Capalaba,8,2
2026-01-04,BetDeluxe Capalaba,9,4
2026-01-04,Mount Gambier,1,1
2026-01-04,Mount Gambier,2,4
2026-01-04,Mount Gambier,3,1
2026-01-04,Mount Gambier,4,6
2026-01-04,Mount Gambier,5,4
2026-01-04,Mount Gambier,6,2
2026-01-04,Mount Gambier,7,2
2026-01-04,Mount Gambier,8,2
2026-01-04,Mount Gambier,9,1
2026-01-04,Mount Gambier,10,4
2026-01-04,Murray Bridge,1,4
2026-01-04,Murray Bridge,2,8
2026-01-04,Murray Bridge,3,7
2026-01-04,Murray Bridge,4,1
2026-01-04,Murray Bridge,5,8
2026-01-04,Murray Bridge,6,3
2026-01-04,Murray Bridge,7,6
2026-01-04,Murray Bridge,8,1
2026-01-04,Murray Bridge,9,1
2026-01-04,Murray Bridge,10,2
2026-01-04,Murray Bridge,11,8
2026-01-04,Murray Bridge,12,2
2026-01-04,Horsham,1,3
2026-01-04,Horsham,2,5
2026-01-04,Horsham,3,4
2026-01-04,Horsham,4,2
2026-01-04,Horsham,5,1
2026-01-04,Horsham,6,6
2026-01-04,Horsham,7,2
2026-01-04,Horsham,8,3
2026-01-04,Horsham,9,2
2026-01-04,Horsham,10,2
2026-01-04,Horsham,11,3
2026-01-04,Horsham,12,6
2026-01-04,BetDeluxe Rockhampton,1,4
2026-01-04,BetDeluxe Rockhampton,2,7
2026-01-04,BetDeluxe Rockhampton,3,7
2026-01-04,BetDeluxe Rockhampton,4,3
2026-01-04,BetDeluxe Rockhampton,5,7
2026-01-04,BetDeluxe Rockhampton,6,1
2026-01-04,BetDeluxe Rockhampton,7,4
2026-01-04,BetDeluxe Rockhampton,8,1
2026-01-04,BetDeluxe Rockhampton,9,3
2026-01-04,BetDeluxe Rockhampton,10,6
2026-01-04,BetDeluxe Rockhampton,11,2
2026-01-04,Ladbrokes Q2 Parklands,1,6
2026-01-04,Ladbrokes Q2 Parklands,2,6
2026-01-04,Ladbrokes Q2 Parklands,3,7
2026-01-04,Ladbrokes Q2 Parklands,4,6
2026-01-04,Ladbrokes Q2 Parklands,5,8
2026-01-04,Ladbrokes Q2 Parklands,6,2
2026-01-04,Ladbrokes Q2 Parklands,7,3
2026-01-04,Ladbrokes Q2 Parklands,8,4
2026-01-04,Ladbrokes Q2 Parklands,9,8
2026-01-04,Darwin,1,8
2026-01-04,Darwin,2,4
2026-01-04,Darwin,3,4
2026-01-04,Darwin,4,8
2026-01-04,Darwin,5,2
2026-01-04,Darwin,6,4
2026-01-04,Darwin,7,2
2026-01-04,Darwin,8,5
2026-01-04,Darwin,9,2
2026-01-04,Darwin,10,7
2026-01-04,Darwin,11,2
