Track,Date,RaceNumber,WinningBoxes
Dubbo,2026-01-05,1,4312
Dubbo,2026-01-05,2,7146
Dubbo,2026-01-05,3,3814
Dubbo,2026-01-05,4,3671
Dubbo,2026-01-05,5,4256
Dubbo,2026-01-05,6,7621
Dubbo,2026-01-05,7,5324
Dubbo,2026-01-05,8,4215
Dubbo,2026-01-05,9,4538
Dubbo,2026-01-05,10,5741
Dubbo,2026-01-05,11,6847
Maitland,2026-01-05,1,3762
Maitland,2026-01-05,2,7152
Maitland,2026-01-05,3,3685
Maitland,2026-01-05,4,3485
Maitland,2026-01-05,5,3867
Maitland,2026-01-05,6,4317
Maitland,2026-01-05,7,1387
Maitland,2026-01-05,8,8136
Maitland,2026-01-05,9,3284
Nowra,2026-01-05,1,2174
Nowra,2026-01-05,2,6287
Nowra,2026-01-05,3,7843
Nowra,2026-01-05,4,5376
Nowra,2026-01-05,5,2681
Nowra,2026-01-05,6,5732
Nowra,2026-01-05,7,4523
Nowra,2026-01-05,8,5814
Nowra,2026-01-05,9,2185
Nowra,2026-01-05,10,2685
Nowra,2026-01-05,11,3482
Healesville,2026-01-05,1,3158
Healesville,2026-01-05,2,2813
Healesville,2026-01-05,3,5218
Healesville,2026-01-05,4,3516
Healesville,2026-01-05,5,8435
Healesville,2026-01-05,6,1386
Healesville,2026-01-05,7,2168
Healesville,2026-01-05,8,5316
Healesville,2026-01-05,9,6781
Healesville,2026-01-05,10,8356
Healesville,2026-01-05,11,7358
Healesville,2026-01-05,12,7152
Ballarat,2026-01-05,1,2318
Ballarat,2026-01-05,2,8257
Ballarat,2026-01-05,3,5136
Ballarat,2026-01-05,4,27108
Ballarat,2026-01-05,5,8325
Ballarat,2026-01-05,6,8625
Ballarat,2026-01-05,7,10378
Ballarat,2026-01-05,8,1853
Ballarat,2026-01-05,9,6812
Ballarat,2026-01-05,10,8643
Ballarat,2026-01-05,11,6725
Ballarat,2026-01-05,12,1862
Warrnambool,2026-01-05,1,4182
Warrnambool,2026-01-05,2,1384
Warrnambool,2026-01-05,3,4728
Warrnambool,2026-01-05,4,2184
Warrnambool,2026-01-05,5,6743
Warrnambool,2026-01-05,6,6814
Warrnambool,2026-01-05,7,2174
Warrnambool,2026-01-05,8,1453
Warrnambool,2026-01-05,9,3614
Warrnambool,2026-01-05,10,7635
Warrnambool,2026-01-05,11,2765
Warrnambool,2026-01-05,12,6821
Angle Park,2026-01-05,1,2648
Angle Park,2026-01-05,2,7819
Angle Park,2026-01-05,3,721
Angle Park,2026-01-05,4,4618
Angle Park,2026-01-05,5,28510
Angle Park,2026-01-05,6,1548
Angle Park,2026-01-05,7,3148
Angle Park,2026-01-05,8,1384
Angle Park,2026-01-05,9,5127
Angle Park,2026-01-05,10,137
Angle Park,2026-01-05,11,4816
Angle Park,2026-01-05,12,6284
Shepparton,2026-01-05,1,7852
Shepparton,2026-01-05,2,3125
Shepparton,2026-01-05,3,5671
Shepparton,2026-01-05,4,8213
Shepparton,2026-01-05,5,6128
Shepparton,2026-01-05,6,1386
Shepparton,2026-01-05,7,5468
Shepparton,2026-01-05,8,2743
Shepparton,2026-01-05,9,7315
Shepparton,2026-01-05,10,2134
Shepparton,2026-01-05,11,2346
Shepparton,2026-01-05,12,23105
Ladbrokes Q Straight,2026-01-05,1,10359
Ladbrokes Q Straight,2026-01-05,2,28104
Ladbrokes Q Straight,2026-01-05,3,6153
Ladbrokes Q Straight,2026-01-05,4,6584
Ladbrokes Q Straight,2026-01-05,5,6784
Ladbrokes Q Straight,2026-01-05,6,2681
Ladbrokes Q Straight,2026-01-05,7,8415
Ladbrokes Q Straight,2026-01-05,8,3486
Ladbrokes Q Straight,2026-01-05,9,2187
Ladbrokes Q Straight,2026-01-05,10,3576
Ladbrokes Q Straight,2026-01-05,11,5831
Ladbrokes Q Straight,2026-01-05,12,8543
Launceston,2026-01-05,1,7312
Launceston,2026-01-05,2,1865
Launceston,2026-01-05,3,1372
Launceston,2026-01-05,4,7436
Launceston,2026-01-05,5,2835
Launceston,2026-01-05,6,4678
Launceston,2026-01-05,7,1673
Launceston,2026-01-05,8,8241
Launceston,2026-01-05,9,1532
Launceston,2026-01-05,10,1862
Mandurah,2026-01-05,1,8532
Mandurah,2026-01-05,2,8761
Mandurah,2026-01-05,3,1785
Mandurah,2026-01-05,4,6417
Mandurah,2026-01-05,5,5127
Mandurah,2026-01-05,6,3625
Mandurah,2026-01-05,7,3182
Mandurah,2026-01-05,8,8152
Mandurah,2026-01-05,9,2714
Mandurah,2026-01-05,10,2457
Mandurah,2026-01-05,11,7245
