Date,Track,Race,WinnerBox
2026-01-10,Taree,1,8
2026-01-10,Taree,2,5
2026-01-10,Taree,3,4
2026-01-10,Taree,4,6
2026-01-10,Taree,5,8
2026-01-10,Taree,6,8
2026-01-10,Taree,7,2
2026-01-10,Taree,8,8
2026-01-10,Taree,9,5
2026-01-10,Taree,10,7
2026-01-10,Taree,11,9
2026-01-10,Taree,12,2
2026-01-10,Ladbrokes Gardens,1,6
2026-01-10,Ladbrokes Gardens,2,1
2026-01-10,Ladbrokes Gardens,3,8
2026-01-10,Ladbrokes Gardens,4,1
2026-01-10,Ladbrokes Gardens,5,2
2026-01-10,Ladbrokes Gardens,6,3
2026-01-10,Ladbrokes Gardens,7,6
2026-01-10,Ladbrokes Gardens,8,2
2026-01-10,Ladbrokes Gardens,9,8
2026-01-10,Ladbrokes Gardens,10,5
2026-01-10,Ladbrokes Gardens,11,6
2026-01-10,Ladbrokes Gardens,12,7
2026-01-10,Dubbo,1,4
2026-01-10,Dubbo,2,5
2026-01-10,Dubbo,3,8
2026-01-10,Dubbo,4,8
2026-01-10,Dubbo,5,5
2026-01-10,Dubbo,6,5
2026-01-10,Dubbo,7,1
2026-01-10,Dubbo,8,1
2026-01-10,Dubbo,9,1
2026-01-10,Dubbo,10,3
2026-01-10,Dubbo,11,7
2026-01-10,Warrnambool,1,2
2026-01-10,Warrnambool,2,6
2026-01-10,Warrnambool,3,2
2026-01-10,Warrnambool,4,6
2026-01-10,Warrnambool,5,6
2026-01-10,Warrnambool,6,7
2026-01-10,Warrnambool,7,2
2026-01-10,Warrnambool,8,9
2026-01-10,Warrnambool,9,4
2026-01-10,Warrnambool,10,8
2026-01-10,Warrnambool,11,5
2026-01-10,Warrnambool,12,5
2026-01-10,Ladbrokes Q1 Lakeside,1,1
2026-01-10,Ladbrokes Q1 Lakeside,2,1
2026-01-10,Ladbrokes Q1 Lakeside,3,8
2026-01-10,Ladbrokes Q1 Lakeside,4,2
2026-01-10,Ladbrokes Q1 Lakeside,5,2
2026-01-10,Ladbrokes Q1 Lakeside,6,4
2026-01-10,Ladbrokes Q1 Lakeside,7,1
2026-01-10,Ladbrokes Q1 Lakeside,8,4
2026-01-10,Ladbrokes Q1 Lakeside,9,3
2026-01-10,Ladbrokes Q1 Lakeside,10,3
2026-01-10,Meadows,1,5
2026-01-10,Meadows,2,5
2026-01-10,Meadows,3,2
2026-01-10,Meadows,4,8
2026-01-10,Meadows,5,6
2026-01-10,Meadows,6,1
2026-01-10,Meadows,7,6
2026-01-10,Meadows,8,1
2026-01-10,Meadows,9,4
2026-01-10,Meadows,10,7
2026-01-10,Meadows,11,6
2026-01-10,Meadows,12,4
2026-01-10,Cannington,1,4
2026-01-10,Cannington,2,5
2026-01-10,Cannington,3,5
2026-01-10,Cannington,4,3
2026-01-10,Cannington,5,4
2026-01-10,Cannington,6,3
2026-01-10,Cannington,7,8
2026-01-10,Cannington,8,1
2026-01-10,Cannington,9,1
2026-01-10,Cannington,10,7
2026-01-10,Cannington,11,4
2026-01-10,Cannington,12,5
