Track,Date,RaceNumber,Position1,Position2,Position3,Position4
Richmond,2026-01-22,1,8,6,4,7
Richmond,2026-01-22,2,8,3,7,2
Richmond,2026-01-22,3,5,6,3,1
Richmond,2026-01-22,4,8,4,7,5
Richmond,2026-01-22,5,8,2,4,3
Richmond,2026-01-22,6,6,8,3,7
Richmond,2026-01-22,7,4,5,6,2
Richmond,2026-01-22,8,4,6,7,8
Richmond,2026-01-22,9,3,6,2,1
Nowra,2026-01-22,1,1,7,2,4
Nowra,2026-01-22,2,3,2,1,5
Nowra,2026-01-22,3,8,1,5,2
Nowra,2026-01-22,4,1,5,7,8
Nowra,2026-01-22,5,1,7,5,2
Nowra,2026-01-22,6,5,2,4,7
Nowra,2026-01-22,7,5,1,3,8
Nowra,2026-01-22,8,6,4,8,2
Nowra,2026-01-22,9,4,3,2,7
Nowra,2026-01-22,10,1,8,5,4
Casino,2026-01-22,1,2,1,7,3
Casino,2026-01-22,2,1,2,5,4
Casino,2026-01-22,3,1,2,4,3
Casino,2026-01-22,4,8,1,7,5
Casino,2026-01-22,5,6,5,3,1
Casino,2026-01-22,6,1,8,2,3
Casino,2026-01-22,7,7,2,4,6
Casino,2026-01-22,8,1,2,3,8
Casino,2026-01-22,9,4,5,8,1
Casino,2026-01-22,10,4,5,2,1
Casino,2026-01-22,11,4,1,2,8
Casino,2026-01-22,12,4,3,5,6
Wentworth Park,2026-01-22,1,5,4,7,8
Wentworth Park,2026-01-22,2,1,3,7,5
Wentworth Park,2026-01-22,3,7,8,3,4
Wentworth Park,2026-01-22,4,2,1,5,8
Wentworth Park,2026-01-22,5,8,1,7,2
Wentworth Park,2026-01-22,6,6,1,8,4
Wentworth Park,2026-01-22,7,3,2,4,7
Wentworth Park,2026-01-22,8,1,7,3,6
Wentworth Park,2026-01-22,9,8,2,3,6
Wentworth Park,2026-01-22,10,5,6,7,2
Wentworth Park,2026-01-22,11,6,1,8,7
Healesville,2026-01-22,1,2,4,7,6
Healesville,2026-01-22,2,1,4,2,5
Healesville,2026-01-22,3,3,2,5,1
Healesville,2026-01-22,4,8,7,3,1
Healesville,2026-01-22,5,3,1,7,6
Healesville,2026-01-22,6,6,4,1,8
Healesville,2026-01-22,7,7,6,4,1
Healesville,2026-01-22,8,8,7,9,6
Healesville,2026-01-22,9,6,2,8,7
Healesville,2026-01-22,10,2,6,4,7
Healesville,2026-01-22,11,3,1,6,2
Healesville,2026-01-22,12,4,8,3,2
Ladbrokes Q1 Lakeside,2026-01-22,1,2,4,8,5
Ladbrokes Q1 Lakeside,2026-01-22,2,4,3,1,2
Ladbrokes Q1 Lakeside,2026-01-22,3,3,6,2,7
Ladbrokes Q1 Lakeside,2026-01-22,4,1,8,7,5
Ladbrokes Q1 Lakeside,2026-01-22,5,1,2,6,8
Ladbrokes Q1 Lakeside,2026-01-22,6,8,7,4,6
