Date,Track,RaceNum,WinningBoxes
2026-01-23,Goulburn,1,8725
2026-01-23,Goulburn,2,1825
2026-01-23,Goulburn,3,2518
2026-01-23,Goulburn,4,5482
2026-01-23,Goulburn,5,5431
2026-01-23,Goulburn,6,1482
2026-01-23,Goulburn,7,8746
2026-01-23,Goulburn,8,7823
2026-01-23,Goulburn,9,7285
2026-01-23,Goulburn,10,7485
2026-01-23,Ladbrokes Gardens,1,5687
2026-01-23,Ladbrokes Gardens,2,2731
2026-01-23,Ladbrokes Gardens,3,1372
2026-01-23,Ladbrokes Gardens,4,3176
2026-01-23,Ladbrokes Gardens,5,3256
2026-01-23,Ladbrokes Gardens,6,8372
2026-01-23,Ladbrokes Gardens,7,2418
2026-01-23,Ladbrokes Gardens,8,2763
2026-01-23,Ladbrokes Gardens,9,1378
2026-01-23,Ladbrokes Gardens,10,7618
2026-01-23,Ladbrokes Gardens,11,4123
2026-01-23,Ladbrokes Gardens,12,6375
2026-01-23,Richmond,1,3284
2026-01-23,Richmond,2,2175
2026-01-23,Richmond,3,1524
2026-01-23,Richmond,4,8123
2026-01-23,Richmond,5,4851
2026-01-23,Richmond,6,1862
2026-01-23,Richmond,7,1265
2026-01-23,Richmond,8,3517
2026-01-23,Richmond,9,1826
2026-01-23,Richmond,10,8374
2026-01-23,Richmond,11,6145
2026-01-23,Wagga,1,8374
2026-01-23,Wagga,2,1754
2026-01-23,Wagga,3,4163
2026-01-23,Wagga,4,5741
2026-01-23,Wagga,5,3687
2026-01-23,Wagga,6,4317
2026-01-23,Wagga,7,4367
2026-01-23,Wagga,8,2587
2026-01-23,Wagga,9,8675
2026-01-23,Wagga,10,5679
2026-01-23,Healesville,1,3218
2026-01-23,Healesville,2,7154
2026-01-23,Healesville,3,8457
2026-01-23,Healesville,4,9846
2026-01-23,Healesville,5,6712
2026-01-23,Healesville,6,5316
2026-01-23,Healesville,7,2867
2026-01-23,Healesville,8,7568
2026-01-23,Healesville,9,8632
2026-01-23,Healesville,10,3758
2026-01-23,Healesville,11,37102
2026-01-23,Healesville,12,7681
2026-01-23,Murray Bridge,1,4275
2026-01-23,Murray Bridge,2,1728
2026-01-23,Murray Bridge,3,5623
2026-01-23,Murray Bridge,4,375
2026-01-23,Murray Bridge,5,1478
2026-01-23,Murray Bridge,6,5712
2026-01-23,Murray Bridge,7,8514
2026-01-23,Murray Bridge,8,7158
2026-01-23,Murray Bridge,9,2418
2026-01-23,Murray Bridge,10,4261
2026-01-23,Bet Nation Townsville,1,5842
2026-01-23,Bet Nation Townsville,2,7531
2026-01-23,Bet Nation Townsville,3,4735
2026-01-23,Bet Nation Townsville,4,4725
2026-01-23,Bet Nation Townsville,5,7824
2026-01-23,Bet Nation Townsville,6,7684
2026-01-23,Bet Nation Townsville,7,8345
2026-01-23,Bet Nation Townsville,8,4681
2026-01-23,Bet Nation Townsville,9,2476
2026-01-23,Bet Nation Townsville,10,1247
2026-01-23,Bet Nation Townsville,11,6178
2026-01-23,Bet Nation Townsville,12,7852
2026-01-23,Ballarat,1,7382
2026-01-23,Ballarat,2,1368
2026-01-23,Ballarat,3,5421
2026-01-23,Ballarat,4,4218
2026-01-23,Ballarat,5,5786
2026-01-23,Ballarat,6,4132
2026-01-23,Ballarat,7,1375
2026-01-23,Ballarat,8,2173
2026-01-23,Ballarat,9,7148
2026-01-23,Ballarat,10,7842
2026-01-23,Ballarat,11,2784
2026-01-23,Ballarat,12,2183
2026-01-23,Ladbrokes Q1 Lakeside,1,1486
2026-01-23,Ladbrokes Q1 Lakeside,2,1867
2026-01-23,Ladbrokes Q1 Lakeside,3,7384
2026-01-23,Ladbrokes Q1 Lakeside,4,1853
2026-01-23,Ladbrokes Q1 Lakeside,5,8629
2026-01-23,Ladbrokes Q1 Lakeside,6,7428
2026-01-23,Ladbrokes Q1 Lakeside,7,8734
2026-01-23,Ladbrokes Q1 Lakeside,8,4786
2026-01-23,Ladbrokes Q1 Lakeside,9,7583
2026-01-23,Ladbrokes Q1 Lakeside,10,5146
2026-01-23,Ladbrokes Q1 Lakeside,11,8367
2026-01-23,Ladbrokes Q1 Lakeside,12,1847
2026-01-23,Bendigo,1,6127
2026-01-23,Bendigo,2,7683
2026-01-23,Bendigo,3,3768
2026-01-23,Bendigo,4,5743
2026-01-23,Bendigo,5,5281
2026-01-23,Bendigo,6,2384
2026-01-23,Bendigo,7,1243
2026-01-23,Bendigo,8,2863
2026-01-23,Bendigo,9,7215
2026-01-23,Bendigo,10,7642
2026-01-23,Bendigo,11,4721
2026-01-23,Bendigo,12,5784
2026-01-23,Geelong,1,4627
2026-01-23,Geelong,2,8731
2026-01-23,Geelong,3,3541
2026-01-23,Geelong,4,3126
2026-01-23,Geelong,5,3465
2026-01-23,Geelong,6,4132
2026-01-23,Geelong,7,3261
2026-01-23,Geelong,8,7683
2026-01-23,Geelong,9,8394
2026-01-23,Geelong,10,2136
2026-01-23,Geelong,11,7435
2026-01-23,Geelong,12,1328
2026-01-23,Mandurah,1,2518
2026-01-23,Mandurah,2,5418
2026-01-23,Mandurah,3,1675
2026-01-23,Mandurah,4,8724
2026-01-23,Mandurah,5,2814
2026-01-23,Mandurah,6,5648
2026-01-23,Mandurah,7,3216
2026-01-23,Mandurah,8,7643
2026-01-23,Mandurah,9,8316
2026-01-23,Mandurah,10,4821
