Track,Date,Race,Winner,2nd,3rd,4th
The Gardens,2026-05-07,1,7,3,2,1
The Gardens,2026-05-07,2,6,3,8,7
The Gardens,2026-05-07,3,1,2,6,7
The Gardens,2026-05-07,4,1,7,2,3
The Gardens,2026-05-07,5,1,8,2,7
The Gardens,2026-05-07,6,2,1,8,6
The Gardens,2026-05-07,7,7,1,2,6
The Gardens,2026-05-07,8,2,6,7,8
The Gardens,2026-05-07,9,1,3,6,4
The Gardens,2026-05-07,10,1,7,6,5
The Gardens,2026-05-07,11,4,8,5,3
Casino,2026-05-07,1,2,3,8,6
Casino,2026-05-07,2,6,2,5,8
Casino,2026-05-07,3,4,9,3,7
Casino,2026-05-07,4,6,8,1,4
Casino,2026-05-07,5,6,7,8,4
Casino,2026-05-07,6,7,4,2,1
Casino,2026-05-07,7,6,2,1,3
Casino,2026-05-07,8,5,1,2,8
Casino,2026-05-07,9,1,2,8,3
Casino,2026-05-07,10,5,7,1,6
Casino,2026-05-07,11,1,5,6,3
Casino,2026-05-07,12,4,3,2,7
Nowra,2026-05-07,1,8,7,5,4
Nowra,2026-05-07,2,2,8,1,5
Nowra,2026-05-07,3,1,7,2,3
Nowra,2026-05-07,4,7,8,1,4
Nowra,2026-05-07,5,2,7,1,3
Nowra,2026-05-07,6,6,1,8,5
Nowra,2026-05-07,7,4,8,1,5
Nowra,2026-05-07,8,7,8,1,4
Nowra,2026-05-07,9,4,2,5,1
Wentworth Park,2026-05-07,1,1,5,8,2
Wentworth Park,2026-05-07,2,8,6,2,7
Wentworth Park,2026-05-07,3,1,8,4,5
Wentworth Park,2026-05-07,4,2,5,7,8
Wentworth Park,2026-05-07,5,1,5,4,2
Wentworth Park,2026-05-07,6,3,1,5,7
Wentworth Park,2026-05-07,7,1,6,8,2
Wentworth Park,2026-05-07,8,1,6,7,4
Wentworth Park,2026-05-07,9,7,6,4,8
Wentworth Park,2026-05-07,10,5,2,3,7
Wentworth Park,2026-05-07,11,2,3,6,1
Shepparton,2026-05-07,1,6,3,2,8
Shepparton,2026-05-07,2,3,8,4,1
Shepparton,2026-05-07,3,5,9,3,8
Shepparton,2026-05-07,4,10,8,5,6
Shepparton,2026-05-07,5,1,8,6,3
Shepparton,2026-05-07,6,3,5,2,7
Shepparton,2026-05-07,7,4,3,6,2
Shepparton,2026-05-07,8,2,7,6,8
Shepparton,2026-05-07,9,1,5,3,6
Shepparton,2026-05-07,10,6,3,4,2
Shepparton,2026-05-07,11,7,8,6,1
Shepparton,2026-05-07,12,3,2,6,7
Ladbrokes Q Straight,2026-05-07,1,8,1,6,5
Ladbrokes Q Straight,2026-05-07,2,2,5,6,4
Ladbrokes Q Straight,2026-05-07,3,1,3,2,8
Ladbrokes Q Straight,2026-05-07,4,5,8,2,4
Ladbrokes Q Straight,2026-05-07,5,1,2,8,5
Ladbrokes Q Straight,2026-05-07,6,4,1,8,7
Ladbrokes Q Straight,2026-05-07,7,4,1,8,6
Ladbrokes Q Straight,2026-05-07,8,8,6,7,4
Ladbrokes Q Straight,2026-05-07,9,2,8,4,6
Ladbrokes Q Straight,2026-05-07,10,2,3,8,6
Ladbrokes Q Straight,2026-05-07,11,2,3,4,1
Ladbrokes Q Straight,2026-05-07,12,2,1,4,8
Mt Gambier,2026-05-07,1,1,2,5,8
Mt Gambier,2026-05-07,2,5,2,7,4
Mt Gambier,2026-05-07,3,8,1,7,5
Mt Gambier,2026-05-07,4,2,5,8,7
Mt Gambier,2026-05-07,5,1,2,4,7
