Track,RaceDate,RaceNumber,WinnerBox,SecondBox,ThirdBox,FourthBox,Distance,WinnerName,WinnerTime
Horsham,2025-11-18,1,8,3,6,2,,,
Horsham,2025-11-18,2,7,2,6,3,,,
Horsham,2025-11-18,3,7,1,8,6,,,
Horsham,2025-11-18,4,1,4,8,7,,,
Horsham,2025-11-18,5,5,4,8,2,,,
Horsham,2025-11-18,6,5,3,6,2,,,
Horsham,2025-11-18,7,5,2,1,4,,,
Horsham,2025-11-18,8,3,4,2,7,,,
Horsham,2025-11-18,9,8,3,5,2,,,
Horsham,2025-11-18,10,4,7,8,6,,,
Horsham,2025-11-18,11,2,5,4,8,,,
Horsham,2025-11-18,12,1,5,2,6,,,
Warragul,2025-11-18,1,6,8,5,7,,,
Warragul,2025-11-18,2,6,3,2,8,,,
Warragul,2025-11-18,3,2,6,1,3,,,
Warragul,2025-11-18,4,5,2,3,4,,,
Warragul,2025-11-18,5,6,4,1,7,,,
Warragul,2025-11-18,6,1,3,6,4,,,
Warragul,2025-11-18,7,1,7,2,6,,,
Warragul,2025-11-18,8,6,2,7,1,,,
Warragul,2025-11-18,9,4,3,1,8,,,
Warragul,2025-11-18,10,5,4,8,1,,,
Warragul,2025-11-18,11,2,10,6,4,,,
Warragul,2025-11-18,12,6,3,1,4,,,
Angle Park,2025-10-16,1,5,2,4,8,342,,
Angle Park,2025-10-16,2,5,7,8,9,342,,
Angle Park,2025-10-16,3,5,7,1,2,342,,
Angle Park,2025-10-16,4,3,1,7,5,342,,
Angle Park,2025-10-16,5,6,8,5,2,342,,
Angle Park,2025-10-16,6,3,6,2,8,342,,
Angle Park,2025-10-16,7,2,8,3,1,342,,
Angle Park,2025-10-16,8,1,6,8,7,342,,
Angle Park,2025-10-16,9,4,5,2,7,342,,
Angle Park,2025-10-16,10,2,1,4,7,342,,
Angle Park,2025-10-16,11,1,2,4,6,342,,
Angle Park,2025-10-16,12,2,4,1,8,342,,
