Track,Date,Race,Winner,2nd,3rd,4th
Richmond,2026-06-21,1,6,7,8,1
Richmond,2026-06-21,2,8,6,3,1
Richmond,2026-06-21,3,7,1,8,6
Richmond,2026-06-21,4,8,2,3,1
Richmond,2026-06-21,5,4,3,5,2
Richmond,2026-06-21,6,1,3,4,5
Richmond,2026-06-21,7,3,4,7,2
Richmond,2026-06-21,8,2,7,1,5
Richmond,2026-06-21,9,2,6,3,1
Richmond,2026-06-21,10,2,9,5,7
Richmond,2026-06-21,11,3,8,4,2
Dubbo,2026-06-21,1,5,4,1,8
Dubbo,2026-06-21,2,3,2,7,8
Dubbo,2026-06-21,3,8,3,6,1
Dubbo,2026-06-21,4,7,5,8,1
Dubbo,2026-06-21,5,3,1,2,7
Dubbo,2026-06-21,6,1,3,2,8
Dubbo,2026-06-21,7,1,3,7,6
Dubbo,2026-06-21,8,6,1,7,3
Dubbo,2026-06-21,9,8,1,3,7
Dubbo,2026-06-21,10,4,8,5,7
Dubbo,2026-06-21,11,6,1,5,2
Dubbo,2026-06-21,12,4,2,1,3
Broken Hill,2026-06-21,1,1,8,3,2
Broken Hill,2026-06-21,2,7,3,8,1
Broken Hill,2026-06-21,3,8,7,6,3
Broken Hill,2026-06-21,4,4,7,3,8
Broken Hill,2026-06-21,5,1,8,6,7
Broken Hill,2026-06-21,6,5,8,2,7
Broken Hill,2026-06-21,7,1,8,7,4
Broken Hill,2026-06-21,8,1,3,4,6
Broken Hill,2026-06-21,9,7,1,8,5
Healesville,2026-06-21,1,4,8,7,5
Healesville,2026-06-21,2,7,1,5,8
Healesville,2026-06-21,3,1,6,5,8
Healesville,2026-06-21,4,3,8,5,4
Healesville,2026-06-21,5,9,8,3,5
Healesville,2026-06-21,6,4,6,7,8
Healesville,2026-06-21,7,6,8,5,4
Healesville,2026-06-21,8,4,5,8,3
Healesville,2026-06-21,9,2,1,7,6
Healesville,2026-06-21,10,7,2,6,4
Healesville,2026-06-21,11,8,7,5,6
Healesville,2026-06-21,12,4,7,8,6
Capalaba,2026-06-21,1,8,2,9,4
Capalaba,2026-06-21,2,1,2,7,6
Capalaba,2026-06-21,3,4,5,7,2
Capalaba,2026-06-21,4,5,4,7,1
Capalaba,2026-06-21,5,8,3,7,6
Capalaba,2026-06-21,6,1,2,8,5
Capalaba,2026-06-21,7,8,5,6,1
Capalaba,2026-06-21,8,4,8,3,7
Capalaba,2026-06-21,9,1,7,2,4
Capalaba,2026-06-21,10,8,5,6,2
Capalaba,2026-06-21,11,8,4,6,1
Capalaba,2026-06-21,12,3,2,1,4
Mount Gambier,2026-06-21,1,6,1,8,
Mount Gambier,2026-06-21,2,7,3,1,5
Mount Gambier,2026-06-21,3,2,8,4,7
Mount Gambier,2026-06-21,4,2,1,8,7
Mount Gambier,2026-06-21,5,3,7,1,2
Mount Gambier,2026-06-21,6,2,3,6,7
Mount Gambier,2026-06-21,7,6,2,3,5
Mount Gambier,2026-06-21,8,1,2,5,7
Mount Gambier,2026-06-21,9,1,2,8,4
Mount Gambier,2026-06-21,10,2,4,1,8
Mount Gambier,2026-06-21,11,5,2,1,4
Sale,2026-06-21,1,3,2,1,6
Sale,2026-06-21,2,7,9,4,3
Sale,2026-06-21,3,4,6,5,1
Sale,2026-06-21,4,4,8,2,6
Sale,2026-06-21,5,1,3,6,4
Sale,2026-06-21,6,8,3,2,7
Sale,2026-06-21,7,2,1,7,3
Sale,2026-06-21,8,6,2,3,8
Sale,2026-06-21,9,1,7,6,4
Sale,2026-06-21,10,7,4,1,8
Sale,2026-06-21,11,6,7,3,4
Sale,2026-06-21,12,4,3,6,2
Q Parklands,2026-06-21,1,5,7,4,6
Q Parklands,2026-06-21,2,6,1,2,5
Q Parklands,2026-06-21,3,6,3,4,7
Q Parklands,2026-06-21,4,4,2,1,7
Q Parklands,2026-06-21,5,10,2,6,1
Q Parklands,2026-06-21,6,6,5,1,2
Q Parklands,2026-06-21,7,ABD,ABD,ABD,ABD
Q Parklands,2026-06-21,8,8,4,2,5
Q Parklands,2026-06-21,9,7,2,3,1
Q Parklands,2026-06-21,10,3,1,8,6
Q Parklands,2026-06-21,11,2,1,4,8
Q Parklands,2026-06-21,12,7,4,1,2
Gawler,2026-06-21,1,7,1,2,5
Gawler,2026-06-21,2,7,6,1,8
Gawler,2026-06-21,3,8,6,4,1
Gawler,2026-06-21,4,1,7,5,8
Gawler,2026-06-21,5,1,4,5,8
Gawler,2026-06-21,6,5,7,8,4
Gawler,2026-06-21,7,2,1,7,5
Gawler,2026-06-21,8,4,8,5,7
Gawler,2026-06-21,9,3,1,5,
Gawler,2026-06-21,10,2,6,8,1
Gawler,2026-06-21,11,1,2,5,7
Gawler,2026-06-21,12,6,2,8,1
Rockhampton,2026-06-21,1,5,6,4,2
Rockhampton,2026-06-21,2,5,7,1,8
Rockhampton,2026-06-21,3,1,4,6,7
Rockhampton,2026-06-21,4,1,4,2,3
Rockhampton,2026-06-21,5,5,6,2,4
Rockhampton,2026-06-21,6,1,2,7,8
Rockhampton,2026-06-21,7,6,1,7,2
Rockhampton,2026-06-21,8,4,5,6,10
Darwin,2026-06-21,1,5,2,1,4
Darwin,2026-06-21,2,7,1,8,3
Darwin,2026-06-21,3,7,5,4,8
Darwin,2026-06-21,4,7,4,2,3
Darwin,2026-06-21,5,4,5,7,2
Darwin,2026-06-21,6,3,7,1,2
Darwin,2026-06-21,7,2,8,4,5
Darwin,2026-06-21,8,1,8,5,2
Darwin,2026-06-21,9,2,8,7,5
