Track,Date,Race,Winner,2nd,3rd,4th
Goulburn,2026-04-24,1,2,5,4,8
Goulburn,2026-04-24,2,1,2,5,7
Goulburn,2026-04-24,3,5,1,4,6
Goulburn,2026-04-24,4,2,10,6,3
Goulburn,2026-04-24,5,1,5,4,6
Goulburn,2026-04-24,6,6,8,3,5
Goulburn,2026-04-24,7,5,8,3,7
Goulburn,2026-04-24,8,5,4,2,7
Goulburn,2026-04-24,9,6,1,2,4
Goulburn,2026-04-24,10,4,1,6,3
Goulburn,2026-04-24,11,1,6,2,3
Goulburn,2026-04-24,12,4,2,1,5
Richmond,2026-04-24,1,5,8,4,2
Richmond,2026-04-24,2,4,1,3,8
Richmond,2026-04-24,3,6,1,3,8
Richmond,2026-04-24,4,7,1,8,6
Richmond,2026-04-24,5,7,3,4,8
Richmond,2026-04-24,6,3,2,1,5
Richmond,2026-04-24,7,2,5,1,4
Richmond,2026-04-24,8,2,4,1,3
Richmond,2026-04-24,9,7,5,2,3
Richmond,2026-04-24,10,6,1,3,7
Richmond,2026-04-24,11,1,8,2,4
Richmond,2026-04-24,12,4,8,5,2
Wagga,2026-04-24,1,5,1,2,4
Wagga,2026-04-24,2,5,8,4,1
Wagga,2026-04-24,3,3,6,4,1
Wagga,2026-04-24,4,2,1,5,3
Wagga,2026-04-24,5,3,5,6,8
Wagga,2026-04-24,6,4,2,6,5
Wagga,2026-04-24,7,6,2,8,3
Wagga,2026-04-24,8,5,4,2,1
Wagga,2026-04-24,9,1,8,4,3
Wagga,2026-04-24,10,7,6,1,4
Wagga,2026-04-24,11,7,8,1,3
The Gardens,2026-04-24,1,5,7,1,4
The Gardens,2026-04-24,2,2,1,6,3
The Gardens,2026-04-24,3,1,3,8,4
The Gardens,2026-04-24,4,1,4,8,2
The Gardens,2026-04-24,5,4,2,3,7
The Gardens,2026-04-24,6,5,7,3,6
The Gardens,2026-04-24,7,2,3,1,8
The Gardens,2026-04-24,8,7,8,1,5
The Gardens,2026-04-24,9,6,1,3,4
The Gardens,2026-04-24,10,1,3,2,6
The Gardens,2026-04-24,11,7,2,1,6
The Gardens,2026-04-24,12,1,2,3,6
Healesville,2026-04-24,1,7,2,3,4
Healesville,2026-04-24,2,2,8,3,1
Healesville,2026-04-24,3,3,1,6,8
Healesville,2026-04-24,4,3,7,8,1
Healesville,2026-04-24,5,4,1,7,2
Healesville,2026-04-24,6,3,8,2,1
Healesville,2026-04-24,7,8,6,2,7
Healesville,2026-04-24,8,8,5,3,2
Healesville,2026-04-24,9,2,1,5,3
Healesville,2026-04-24,10,1,4,8,2
Healesville,2026-04-24,11,2,8,1,3
Healesville,2026-04-24,12,4,1,7,5
Townsville,2026-04-24,1,8,4,7,6
Townsville,2026-04-24,2,6,5,4,7
Townsville,2026-04-24,3,7,1,2,8
Townsville,2026-04-24,4,7,6,8,4
Townsville,2026-04-24,5,1,2,3,5
Townsville,2026-04-24,6,1,3,7,8
Townsville,2026-04-24,7,7,5,1,8
Townsville,2026-04-24,8,3,1,10,4
Townsville,2026-04-24,9,8,3,1,2
Townsville,2026-04-24,10,4,2,5,8
Townsville,2026-04-24,11,8,3,6,7
Warragul,2026-04-24,1,8,2,6,4
Warragul,2026-04-24,2,4,8,6,7
Warragul,2026-04-24,3,4,8,5,1
Warragul,2026-04-24,4,7,1,6,3
Warragul,2026-04-24,5,5,1,7,8
Warragul,2026-04-24,6,3,1,2,8
Warragul,2026-04-24,7,3,2,1,8
Warragul,2026-04-24,8,1,5,3,7
Warragul,2026-04-24,9,1,2,8,3
Warragul,2026-04-24,10,8,1,5,7
Warragul,2026-04-24,11,2,4,5,3
Warragul,2026-04-24,12,7,4,8,3
Murray Bridge,2026-04-24,1,1,2,6,4
Murray Bridge,2026-04-24,2,8,4,6,3
Murray Bridge,2026-04-24,3,2,1,6,4
Murray Bridge,2026-04-24,4,4,1,8,6
Murray Bridge,2026-04-24,5,6,1,2,8
Murray Bridge,2026-04-24,6,2,4,5,1
Murray Bridge,2026-04-24,7,8,7,1,4
Murray Bridge,2026-04-24,8,5,6,8,3
Murray Bridge,2026-04-24,9,1,7,8,5
Murray Bridge,2026-04-24,10,3,1,7,5
Murray Bridge,2026-04-24,11,4,1,6,2
Q Lakeside,2026-04-24,1,4,1,9,6
Q Lakeside,2026-04-24,2,8,5,3,6
Q Lakeside,2026-04-24,3,2,4,1,3
Q Lakeside,2026-04-24,4,7,8,5,3
Q Lakeside,2026-04-24,5,4,1,5,3
Q Lakeside,2026-04-24,6,3,2,6,1
Q Lakeside,2026-04-24,7,4,8,2,3
Q Lakeside,2026-04-24,8,7,5,4,1
Q Lakeside,2026-04-24,9,1,3,7,9
Q Lakeside,2026-04-24,10,6,5,8,7
Q Lakeside,2026-04-24,11,4,5,7,3
Q Lakeside,2026-04-24,12,3,1,5,8
Bendigo,2026-04-24,1,4,1,7,8
Bendigo,2026-04-24,2,5,2,1,4
Bendigo,2026-04-24,3,6,3,8,4
Bendigo,2026-04-24,4,1,3,4,7
Bendigo,2026-04-24,5,4,1,5,2
Bendigo,2026-04-24,6,3,1,5,4
Bendigo,2026-04-24,7,1,5,2,8
Bendigo,2026-04-24,8,6,7,3,4
Bendigo,2026-04-24,9,1,2,8,7
Bendigo,2026-04-24,10,2,1,8,3
Bendigo,2026-04-24,11,6,7,3,2
Bendigo,2026-04-24,12,1,7,2,5
Ballarat,2026-04-24,1,2,8,5,3
Ballarat,2026-04-24,2,3,2,4,7
Ballarat,2026-04-24,3,7,2,6,3
Ballarat,2026-04-24,4,2,9,5,3
Ballarat,2026-04-24,5,2,1,8,7
Ballarat,2026-04-24,6,2,8,5,4
Ballarat,2026-04-24,7,8,7,2,1
Ballarat,2026-04-24,8,2,4,6,8
Ballarat,2026-04-24,9,5,4,2,3
Ballarat,2026-04-24,10,4,7,2,1
Ballarat,2026-04-24,11,8,5,2,4
Ballarat,2026-04-24,12,1,8,5,3
Mandurah,2026-04-24,1,6,2,5,7
Mandurah,2026-04-24,2,4,3,7,2
Mandurah,2026-04-24,3,4,1,8,10
Mandurah,2026-04-24,4,4,2,7,8
Mandurah,2026-04-24,5,7,4,5,3
Mandurah,2026-04-24,6,2,7,5,4
Mandurah,2026-04-24,7,2,1,7,3
Mandurah,2026-04-24,8,2,7,1,3
Mandurah,2026-04-24,9,6,4,8,1
Mandurah,2026-04-24,10,1,8,4,5
Mandurah,2026-04-24,11,8,1,4,5
