# Actual race winners for 25/11/2024
# Format: Track Name, R#, Box#

Angle Park, R1, 4
Angle Park, R2, 5
Angle Park, R3, 7
Angle Park, R4, 4
Angle Park, R5, 5
Angle Park, R6, 7
Angle Park, R7, 7
Angle Park, R8, 4
Angle Park, R9, 8
Angle Park, R10, 8
BALLARAT, R1, 3
BALLARAT, R2, 9
BALLARAT, R3, 1
BALLARAT, R4, 7
BALLARAT, R5, 10
BALLARAT, R6, 1
BALLARAT, R7, 2
BALLARAT, R8, 5
BALLARAT, R9, 10
BALLARAT, R10, 7
BALLARAT, R11, 8
BALLARAT, R12, 9
BALLARAT, R13, 8
BALLARAT, R14, 1
Bulli, R1, 3
Bulli, R2, 5
Bulli, R3, 9
Bulli, R4, 6
Bulli, R5, 4
Bulli, R6, 3
Bulli, R7, 10
Bulli, R8, 6
Bulli, R9, 3
Bulli, R10, 1
Bulli, R11, 1
Bulli, R12, 5
GOSFORD, R1, 3
GOSFORD, R2, 7
GOSFORD, R3, 4
GOSFORD, R4, 7
GOSFORD, R5, 3
GOSFORD, R6, 8
GOSFORD, R7, 7
GOSFORD, R8, 1
GOSFORD, R9, 2
GOSFORD, R10, 10
GOSFORD, R11, 2
GRAFTON, R1, 2
GRAFTON, R2, 1
GRAFTON, R3, 3
GRAFTON, R4, 3
GRAFTON, R5, 4
GRAFTON, R6, 4
GRAFTON, R7, 5
GRAFTON, R8, 3
GRAFTON, R9, 1
GRAFTON, R10, 6
HORSHAM, R1, 4
HORSHAM, R2, 4
HORSHAM, R3, 6
HORSHAM, R4, 2
HORSHAM, R5, 6
HORSHAM, R6, 7
HORSHAM, R7, 1
HORSHAM, R8, 7
HORSHAM, R9, 9
HORSHAM, R10, 4
HORSHAM, R11, 8
HORSHAM, R12, 1
LAUNCESTON, R1, 9
LAUNCESTON, R2, 3
LAUNCESTON, R3, 3
LAUNCESTON, R4, 7
LAUNCESTON, R5, 10
LAUNCESTON, R6, 9
LAUNCESTON, R7, 1
LAUNCESTON, R8, 5
LAUNCESTON, R9, 2
LAUNCESTON, R10, 4
MURRAY BDGE STRAIGHT, R1, 1
MURRAY BDGE STRAIGHT, R2, 6
MURRAY BDGE STRAIGHT, R3, 6
MURRAY BDGE STRAIGHT, R4, 4
MURRAY BDGE STRAIGHT, R5, 7
MURRAY BDGE STRAIGHT, R6, 2
MURRAY BDGE STRAIGHT, R7, 8
MURRAY BDGE STRAIGHT, R8, 2
MURRAY BDGE STRAIGHT, R9, 2
MURRAY BDGE STRAIGHT, R10, 8
Mandurah, R1, 8
Mandurah, R2, 3
Mandurah, R3, 4
Mandurah, R4, 9
Mandurah, R5, 2
Mandurah, R6, 1
Mandurah, R7, 4
Mandurah, R8, 2
Mandurah, R9, 6
Mandurah, R10, 5
Q LAKESIDE, R1, 4
Q LAKESIDE, R2, 7
Q LAKESIDE, R3, 2
Q LAKESIDE, R4, 7
Q LAKESIDE, R5, 1
Q LAKESIDE, R6, 7
Q LAKESIDE, R7, 2
Q LAKESIDE, R8, 2
Q LAKESIDE, R9, 8
Q LAKESIDE, R10, 6
Q LAKESIDE, R11, 2
Q LAKESIDE, R12, 5
Q LAKESIDE, R13, 8
Q LAKESIDE, R14, 6
TOWNSVILLE, R1, 10
TOWNSVILLE, R2, 3
TOWNSVILLE, R3, 8
TOWNSVILLE, R4, 1
TOWNSVILLE, R5, 6
TOWNSVILLE, R6, 4
TOWNSVILLE, R7, 4
TOWNSVILLE, R8, 10
TOWNSVILLE, R9, 3
TOWNSVILLE, R10, 8
TOWNSVILLE, R11, 1
TOWNSVILLE, R12, 1
Warragul, R1, 2
Warragul, R2, 8
Warragul, R3, 2
Warragul, R4, 4
Warragul, R5, 4
Warragul, R6, 5
Warragul, R7, 1
Warragul, R8, 5
Warragul, R9, 4
Warragul, R10, 6
Warragul, R11, 3
Warragul, R12, 4
