================================================================================
BEST BETS RANKING REPORT
Generated: 2026-06-21 07:17:43 (Sunday)
Races ranked by score gap between 1st and 2nd place dogs.
Largest gap = strongest model confidence / best bet.
================================================================================
📊 GAP SUMMARY: median 3.14%  |  ≥20%: 5 race(s)  |  ≥10%: 18 race(s)  |  Total: 120 races
================================================================================

Rank  Track            Race       Gap  1st Dog                        1st%  2nd Dog                        2nd%
----------------------------------------------------------------------------------------------------
1     BROKEN HILL      R5    25.6986%  Box 3 Uncontested            36.2382%  Box 7 Zipping Mufasa         10.5396%
2     GAWLER           R4    21.6089%  Box 1 Kisauni                42.7297%  Box 5 No Idea                21.1208%
3     Capalaba         R6    21.3584%  Box 2 Lester Banner          34.6188%  Box 5 Ice Rider              13.2604%
4     SALE             R3    21.0842%  Box 6 Amron Dancer           44.5034%  Box 7 Always Share           23.4192%
5     MT GAMBIER       R9    20.8526%  Box 1 Lady Tsunade           36.2225%  Box 8 Dodge The Dream        15.3699%
6     MT GAMBIER       R2    19.2176%  Box 7 Nulla Danny Boy        43.8396%  Box 1 Nulla William          24.6220%
7     Q PARKLANDS      R7    18.9813%  Box 1 Rupee's Rocket         30.5685%  Box 8 Beautiful Child        11.5872%
8     MT GAMBIER       R8    17.9261%  Box 2 Way Cool               31.8203%  Box 4 Trading Halt           13.8942%
9     Q PARKLANDS      R8    16.2718%  Box 1 Appeal                 30.5536%  Box 6 Sagacious Syd          14.2818%
10    GAWLER           R10   15.6656%  Box 1 Wilma's Our Girl       40.9413%  Box 6 Dolan                  25.2757%
11    Capalaba         R7    14.6629%  Box 2 Avoid The Noise        34.6567%  Box 5 Bundy All Go           19.9938%
12    DUBBO            R11   12.4762%  Box 1 Classic Lass           26.5419%  Box 3 Scotch All Round       14.0657%
13    SALE             R5    12.2828%  Box 6 Dr. Will               40.1195%  Box 5 Nova Rose              27.8367%
14    DUBBO            R2    11.9424%  Box 3 Karinya Shall Be       24.0150%  Box 4 Kaleidoscope           12.0726%
15    HEALESVILLE      R2    11.9134%  Box 3 Let's Go Champ         27.7409%  Box 1 Aston Rochelle         15.8275%
