Track,RaceNumber,Box,DogName,FinalScore,Tier,Margin,Recommendation,ExpectedWinRate
SANDOWN,3,1,Abdulla Zulu,115.75173823439422,TIER1,14.30492592156329,v4.4 Pick,28-30%
SANDOWN,4,2,To Peru,138.24145174926943,TIER1,12.676679713221153,v4.4 Pick,28-30%
SANDOWN,5,2,Paw Toronto,99.8895002287777,TIER2,11.041825916517075,v4.4 Pick,28-30%
SANDOWN,9,2,Bandit Daryl,104.2793446751193,TIER0,21.844276819712473,v4.4 Pick,28-30%
SANDOWN,10,5,Paw Quebec,120.84094650679444,TIER1,36.669993519993334,v4.4 Pick,28-30%
Angle Park,2,8,Victory Club,52.51579327129119,TIER0,29.679107278046313,v4.4 Pick,28-30%
Angle Park,4,4,Talbot Road,126.13524914231917,TIER1,23.107158261347326,v4.4 Pick,28-30%
Angle Park,5,2,Galactic Nemesis,166.82268089683785,TIER0,40.339075415091195,v4.4 Pick,28-30%
Angle Park,7,5,Minnie's My Mum,100.30445561924472,TIER1,31.41834463429014,v4.4 Pick,28-30%
Angle Park,10,6,Flying Artie,84.95816936117765,TIER1,15.396332491926767,v4.4 Pick,28-30%
Angle Park,11,1,Canya Striker,133.75140898428356,TIER0,38.296583218857904,v4.4 Pick,28-30%
Angle Park,12,6,Isabella's Blitz,111.5593793942853,TIER1,21.6066178788857,v4.4 Pick,28-30%
RICHMOND STRAIGHT,4,8,Despicable Dash,67.30245394497497,TIER1,14.12431669279568,v4.4 Pick,28-30%
RICHMOND STRAIGHT,5,8,Lakota Courtney,117.58738653573847,TIER1,22.161470609157725,v4.4 Pick,28-30%
RICHMOND STRAIGHT,7,2,Cawbourne Leota,125.02699247147582,TIER0,35.082485918110315,v4.4 Pick,28-30%
RICHMOND STRAIGHT,9,8,Sanctimonious,45.49040105053891,TIER1,18.36008639892619,v4.4 Pick,28-30%
RICHMOND STRAIGHT,11,4,Zipping Ruffian,57.03729299901297,TIER1,12.32460182242563,v4.4 Pick,28-30%
WENTWORTH PARK,2,2,Overflow Jenny,121.65284605499065,TIER1,23.210720492763627,v4.4 Pick,28-30%
WENTWORTH PARK,4,1,Shinkansen,79.47450279509691,TIER0,45.52587828440377,v4.4 Pick,28-30%
WENTWORTH PARK,5,6,Spring Steffi,90.47553763028021,TIER1,14.771912374315185,v4.4 Pick,28-30%
WENTWORTH PARK,6,9,Boppin' Ethics,58.733385150152905,TIER1,19.50591601864744,v4.4 Pick,28-30%
WENTWORTH PARK,8,2,Pepe Morada,116.17135340192351,TIER1,72.29652811654354,v4.4 Pick,28-30%
Mandurah,1,6,Epic Marceline,72.49476697436154,TIER1,56.06476262378185,v4.4 Pick,28-30%
Mandurah,2,8,Mystic Pixel,90.13774975787027,TIER1,47.87132687793629,v4.4 Pick,28-30%
Mandurah,4,2,Sunset Vibe,112.89800256650867,TIER1,43.33418102684972,v4.4 Pick,28-30%
Mandurah,5,8,Bruiser My Uncle,40.630973203814364,TIER1,30.922034925438847,v4.4 Pick,28-30%
Mandurah,7,1,Sunset Bubbles,77.12687988860445,TIER1,14.847845366342103,v4.4 Pick,28-30%
Mandurah,9,2,Spider Hulk,47.57954624925906,TIER1,11.950833796529398,v4.4 Pick,28-30%
Mandurah,10,8,Princess Gemma,42.32679934839943,TIER1,30.846924740050554,v4.4 Pick,28-30%
NOWRA,2,1,Athlete Tick,159.55006948200648,TIER0,51.11535754954506,v4.4 Pick,28-30%
NOWRA,3,2,Kicking Bins,57.473488147999966,TIER1,12.242897693477238,v4.4 Pick,28-30%
NOWRA,4,2,Winsome Rambo,104.40562830052829,TIER1,40.97597706278771,v4.4 Pick,28-30%
NOWRA,5,2,Before The Dawn,93.55821160367508,TIER1,43.01825682960831,v4.4 Pick,28-30%
