FormsDate,FormsTrack,ResultsDate,ResultsTrack
2026-03-09,Gawler,2026-03-10,Gawler
2026-03-09,Healesville,2026-03-10,Healesville
2026-03-09,Maitland,2026-03-10,Maitland
2026-03-09,Nowra,2026-03-10,Nowra
2026-03-09,Sandown,2026-03-10,Sandown
2026-03-09,Shepparton,2026-03-10,Shepparton
2026-03-09,Warrnambool,2026-03-10,Warrnambool
2026-05-27,Hobart,2026-05-28,Hobart
2026-05-29,Murray Bridge Straight,2026-05-29,Murray Bridge
2026-06-03,Hobart,2026-06-02,Hobart
2026-06-05,Murray Bridge Straight,2026-06-05,Murray Bridge
2026-06-12,Murray Bridge Straight,2026-06-12,Murray Bridge
2026-06-19,Murray Bridge Straight,2026-06-19,Murray Bridge
2026-06-26,Murray Bridge Straight,2026-06-26,Murray Bridge
2026-06-29,Murray Bridge Straight,2026-06-29,Murray Bridge
2026-07-03,Murray Bridge Straight,2026-07-03,Murray Bridge
2026-07-10,Murray Bridge Straight,2026-07-10,Murray Bridge
2026-07-17,Murray Bridge Straight,2026-07-17,Murray Bridge
2026-07-24,Murray Bridge Straight,2026-07-24,Murray Bridge
2026-07-31,Murray Bridge Straight,2026-07-31,Murray Bridge
2026-08-26,Hobart,2026-08-27,Hobart
