Date,Track
2025-10-16,Angle Park
2025-10-16,Bendigo
2025-10-19,Broken Hill
2025-11-12,Cannington
2025-11-22,Dubbo
2025-11-22,Wentworth Park
2025-11-23,Darwin
2025-12-12,Bendigo
2025-12-12,Gardens
2025-12-12,Geelong
2025-12-12,Goulburn
2025-12-12,Healesville
2025-12-12,Horsham
2025-12-12,Mandurah
2025-12-12,Murray Bridge
2025-12-12,Q Lakeside
2025-12-12,Richmond
2025-12-12,Townsville
2025-12-12,Wagga
2025-12-27,Taree
2026-01-06,Bulli
2026-01-06,Casino
2026-01-06,Geelong
2026-01-06,Hobart
2026-01-06,Q Lakeside
2026-01-06,Sandown
2026-01-06,Townsville
2026-01-06,Warragul
2026-01-07,Bendigo
2026-01-07,Cannington
2026-01-07,Capalaba
2026-01-07,Gunnedah
2026-01-07,Q Lakeside
2026-01-07,Richmond
2026-01-07,Rockhampton
2026-01-07,Sale
2026-01-07,Taree
2026-01-07,Temora
2026-01-10,Wentworth Park
2026-01-22,Q Straight
2026-01-25,Capalaba
2026-01-25,Darwin
2026-01-25,Grafton
2026-01-25,Healesville
2026-01-25,Meadows
2026-01-25,Mount Gambier
2026-01-25,Q Parklands
2026-01-25,Richmond
2026-01-25,Sale
2026-01-25,Temora
2026-01-26,Ballarat
2026-01-26,Launceston
2026-01-26,Maitland
2026-01-26,Nowra
2026-01-26,Q Straight
2026-01-26,Sandown
2026-01-26,Shepparton
2026-01-26,Warrnambool
2026-01-27,Townsville
2026-02-01,Capalaba
2026-02-01,Darwin
2026-02-01,Grafton
2026-02-01,Healesville
2026-02-01,Mount Gambier
2026-02-01,Murray Bridge
2026-02-01,Q Parklands
2026-02-01,Richmond
2026-02-01,Rockhampton
2026-02-01,Sale
2026-02-26,Mandurah
2026-03-05,Angle Park
2026-03-05,Casino
2026-03-05,Geelong
2026-03-05,Gosford
2026-03-05,Mandurah
2026-03-05,Mount Gambier
2026-03-05,Nowra
2026-03-05,Q Parklands
2026-03-05,Q Straight
2026-03-05,Sandown
2026-03-05,Shepparton
2026-03-05,Warrnambool
2026-03-05,Wentworth Park
2026-03-09,Gawler
2026-03-09,Healesville
2026-03-09,Maitland
2026-03-09,Mandurah
2026-03-09,Nowra
2026-03-09,Q Straight
2026-03-09,Sandown
2026-03-09,Shepparton
2026-03-09,Warrnambool
2026-03-13,Q Lakeside
2026-03-16,Angle Park
2026-03-20,Murray Bridge
2026-03-26,Q Parklands
2026-03-29,Bendigo
2026-03-29,Capalaba
2026-03-29,Darwin
2026-03-29,Gawler
2026-03-29,Grafton
2026-03-29,Mount Gambier
2026-03-29,Q Parklands
2026-03-29,Richmond
2026-03-29,Rockhampton
2026-03-29,Sale
2026-04-14,Angle Park
2026-04-14,Bulli
2026-04-14,Geelong
2026-04-14,Gosford
2026-04-14,Grafton
2026-04-14,Hobart
2026-04-14,Horsham
2026-04-14,Mandurah
2026-04-14,Q Lakeside
2026-04-14,Townsville
2026-04-14,Warragul
2026-04-18,Cannington
2026-04-18,Gardens
2026-04-18,Wentworth Park
2026-05-03,Capalaba
2026-05-05,Q Lakeside
2026-05-08,Q Lakeside
2026-05-12,Q Lakeside
2026-05-15,Q Lakeside
2026-05-20,Q Lakeside
2026-05-27,Murray Bridge Straight
2026-05-29,Murray Bridge Straight
2026-05-29,Q Lakeside
2026-05-30,Taree
2026-06-02,Bulli
2026-06-02,Casino
2026-06-02,Geelong
2026-06-02,Gosford
2026-06-02,Horsham
2026-06-02,Mandurah
2026-06-02,Q Lakeside
2026-06-02,Townsville
2026-06-02,Warragul
2026-06-05,Murray Bridge Straight
2026-06-12,Murray Bridge Straight
2026-06-15,Hobart
2026-06-19,Murray Bridge Straight
2026-06-22,Hobart
2026-06-26,Murray Bridge Straight
2026-06-29,Murray Bridge Straight
2026-07-03,Murray Bridge Straight
2026-07-10,Murray Bridge Straight
2026-07-17,Murray Bridge Straight
2026-07-23,Q Lakeside
2026-07-24,Murray Bridge Straight
2026-07-31,Murray Bridge Straight
2026-08-06,Q Lakeside
2026-08-10,Warragul
2026-08-20,Angle Park
2026-08-20,Casino
2026-08-20,Gunnedah
2026-08-20,Hobart
2026-08-20,Mandurah
2026-08-20,Mount Gambier
2026-08-20,Q Parklands
2026-08-20,Warragul
2026-08-20,Warrnambool
2026-08-20,Wentworth Park
2026-08-27,Launceston
