Date,Track
2025-11-25,Launceston
2025-11-27,Hobart
2025-11-27,Mount Gambier
2025-12-01,Launceston
2025-12-02,Hobart
2025-12-04,Hobart
2025-12-08,Launceston
2025-12-09,Launceston
2025-12-11,Hobart
2025-12-15,Launceston
2025-12-16,Hobart
2025-12-18,ABD
2025-12-18,Hobart
2025-12-27,Tasmania
2025-12-29,Launceston
2025-12-30,Launceston
2026-01-01,Hobart
2026-01-05,Launceston
2026-01-06,Launceston
2026-01-06,Q Straight
2026-01-06,Warrnambool
2026-01-07,Angle Park
2026-01-07,Ballarat
2026-01-07,Dubbo
2026-01-07,Healesville
2026-01-07,Launceston
2026-01-07,Maitland
2026-01-07,Mandurah
2026-01-07,Nowra
2026-01-07,Q Straight
2026-01-07,Shepparton
2026-01-07,Warrnambool
2026-01-12,Launceston
2026-01-13,Hobart
2026-01-15,Hobart
2026-01-16,BENDIGO
2026-01-16,GEELONG
2026-01-16,GOULBURN
2026-01-16,HEALESVILLE
2026-01-16,MANDURAH
2026-01-16,MURRAY BRIDGE
2026-01-16,RICHMOND
2026-01-16,WAGGA
2026-01-16,WARRAGUL
2026-01-17,ANGLE PARK
2026-01-17,BALLARAT
2026-01-17,CANNINGTON
2026-01-17,DUBBO
2026-01-17,MEADOWS
2026-01-17,TAREE
2026-01-17,WENTWORTH PARK
2026-01-18,DARWIN
2026-01-18,GAWLER
2026-01-18,GRAFTON
2026-01-18,HEALESVILLE
2026-01-18,RICHMOND
2026-01-18,SALE
2026-01-19,ANGLE PARK
2026-01-19,BALLARAT
2026-01-19,LAUNCESTON
2026-01-19,MAITLAND
2026-01-19,MANDURAH
2026-01-19,NOWRA
2026-01-19,SANDOWN
2026-01-19,SHEPPARTON
2026-01-19,WAGGA
2026-01-19,WARRNAMBOOL
2026-01-20,ANGLE PARK
2026-01-20,BENDIGO
2026-01-20,GEELONG
2026-01-20,GOSFORD
2026-01-20,GRAFTON
2026-01-20,LAUNCESTON
2026-01-20,MANDURAH
2026-01-20,MURRAY BRIDGE STRAIGHT
2026-01-20,TEMORA
2026-01-20,WARRAGUL
2026-01-22,Hobart
2026-01-22,Q Lakeside
2026-01-27,Launceston
2026-01-29,Hobart
2026-01-29,Warrnambool
2026-03-10,Gawler
2026-03-10,Healesville
2026-03-10,Maitland
2026-03-10,Nowra
2026-03-10,Q Parklands
2026-03-10,Sandown
2026-03-10,Shepparton
2026-03-10,Warrnambool
2026-03-12,Hobart
2026-03-13,Ladbrokes Q Lakeside
2026-03-16,Launceston
2026-03-17,Hobart
2026-03-19,Hobart
2026-03-20,Murray Bridge Straight
2026-03-23,Launceston
2026-03-24,Hobart
2026-03-26,Hobart
2026-04-18,Ballarat
2026-04-18,Capalaba
2026-04-18,Mandurah
2026-04-18,Murray Bridge
2026-04-18,Richmond
2026-04-18,Rockhampton
2026-04-18,Sale
2026-04-18,Temora
2026-04-20,Launceston
2026-04-21,Launceston
2026-04-23,Hobart
2026-04-27,Launceston
2026-04-28,Ballarat
2026-04-28,Hobart
2026-04-28,Launceston
2026-04-28,Maitland
2026-04-28,Northam
2026-04-28,Q Straight
2026-04-28,Sandown
2026-04-28,Shepparton
2026-04-28,Wagga
2026-04-28,Warrnambool
2026-04-30,Hobart
2026-05-01,Bendigo
2026-05-01,Gardens
2026-05-01,Geelong
2026-05-01,Goulburn
2026-05-01,Healesville
2026-05-01,Mandurah
2026-05-01,Q Lakeside
2026-05-01,Richmond
2026-05-01,Townsville
2026-05-01,Traralgon
2026-05-01,Wagga
2026-05-04,Launceston
2026-05-05,Hobart
2026-05-05,Ladbrokes Q Lakeside
2026-05-07,Hobart
2026-05-08,Ladbrokes Q Lakeside
2026-05-11,Launceston
2026-05-12,Ladbrokes Q Lakeside
2026-05-12,Launceston
2026-05-14,Hobart
2026-05-15,Ladbrokes Q Lakeside
2026-05-16,BENDIGO
2026-05-16,BROKEN HILL
2026-05-16,DUBBO
2026-05-16,Q LAKESIDE
2026-05-16,WENTWORTH PARK
2026-05-18,Launceston
2026-05-19,Launceston
2026-05-20,Ladbrokes Q Lakeside
2026-05-21,Hobart
2026-05-25,Launceston
2026-05-26,Launceston
2026-05-26,Mandurah
2026-05-27,BALLARAT
2026-05-27,BENDIGO
2026-05-27,GUNNEDAH
2026-05-27,MURRAY BDGE STRAIGHT
2026-05-27,RICHMOND
2026-05-27,ROCKHAMPTON
2026-05-27,SALE
2026-05-28,Gardens
2026-05-28,Hobart
2026-05-28,Mandurah
2026-05-28,Warrnambool
2026-05-29,Ladbrokes Q Lakeside
2026-05-29,Murray Bridge
2026-05-30,Ballarat
2026-05-31,Healesville
2026-05-31,Mount Gambier
2026-06-01,Launceston
2026-06-02,Launceston
2026-06-02,Maitland
2026-06-02,Northam
2026-06-02,Nowra
2026-06-02,Q Straight
2026-06-02,Sandown
2026-06-02,Shepparton
2026-06-02,Traralgon
2026-06-02,Warrnambool
2026-06-04,Hobart
2026-06-05,Murray Bridge
2026-06-08,Launceston
2026-06-09,Hobart
2026-06-11,Hobart
2026-06-11,Shepparton
2026-06-12,Murray Bridge
2026-06-12,Townsville
2026-06-15,Launceston
2026-06-16,Hobart
