Date,Track
2025-09-07,Darwin
2025-09-07,Q Straight
2025-09-07,Sale
2025-11-18,Angle Park
2025-11-18,Horsham
2025-11-18,Launceston
2025-11-18,Warragul
2025-11-22,Angle Park
2025-11-22,Bendigo
2025-11-22,Cannington
2025-11-22,Q Lakeside
2025-11-22,Sandown
2025-11-27,Mount Gambier
2025-12-27,Hobart
2026-01-06,Launceston
2026-01-06,Q Straight
2026-01-06,Warrnambool
2026-01-07,Angle Park
2026-01-07,Ballarat
2026-01-07,Dubbo
2026-01-07,Healesville
2026-01-07,Launceston
2026-01-07,Maitland
2026-01-07,Mandurah
2026-01-07,Nowra
2026-01-07,Q Straight
2026-01-07,Shepparton
2026-01-07,Warrnambool
2026-01-22,Q Lakeside
2026-01-29,Warrnambool
2026-03-10,Q Parklands
2026-03-20,Murray Bridge Straight
2026-04-18,Ballarat
2026-04-18,Capalaba
2026-04-18,Mandurah
2026-04-18,Murray Bridge
2026-04-18,Richmond
2026-04-18,Rockhampton
2026-04-18,Sale
2026-04-18,Temora
2026-04-28,Ballarat
2026-04-28,Launceston
2026-04-28,Maitland
2026-04-28,Northam
2026-04-28,Q Straight
2026-04-28,Sandown
2026-04-28,Shepparton
2026-04-28,Wagga
2026-04-28,Warrnambool
2026-05-01,Bendigo
2026-05-01,Gardens
2026-05-01,Geelong
2026-05-01,Goulburn
2026-05-01,Healesville
2026-05-01,Mandurah
2026-05-01,Q Lakeside
2026-05-01,Richmond
2026-05-01,Townsville
2026-05-01,Traralgon
2026-05-01,Wagga
2026-05-26,Mandurah
2026-05-28,Gardens
2026-05-28,Hobart
2026-05-28,Mandurah
2026-05-28,Warrnambool
2026-05-30,Ballarat
2026-05-31,Healesville
2026-05-31,Mount Gambier
2026-06-02,Hobart
2026-06-02,Maitland
2026-06-02,Northam
2026-06-02,Nowra
2026-06-02,Q Straight
2026-06-02,Sandown
2026-06-02,Shepparton
2026-06-02,Traralgon
2026-06-02,Warrnambool
2026-06-11,Shepparton
2026-06-12,Townsville
2026-06-15,Launceston
2026-06-22,Launceston
2026-06-25,Q Straight
2026-07-23,Q Parklands
2026-08-06,Q Parklands
2026-08-07,Healesville
2026-08-07,Murray Bridge
2026-08-20,Ballarat
2026-08-20,Gawler
2026-08-20,Healesville
2026-08-20,Launceston
2026-08-20,Maitland
2026-08-20,Northam
2026-08-20,Nowra
2026-08-27,Hobart
