Date,Track,ExpectedFormFile
2025-09-07,Darwin,DRWNG070925form.pdf
2025-09-07,Q Straight,QSTRG070925form.pdf
2025-09-07,Sale,SALEG070925form.pdf
2025-11-18,Angle Park,ANGLG181125form.pdf
2025-11-18,Horsham,HSHMG181125form.pdf
2025-11-18,Launceston,MOWBG181125form.pdf
2025-11-18,Warragul,WARGG181125form.pdf
2025-11-22,Angle Park,ANGLG221125form.pdf
2025-11-22,Bendigo,BDGOG221125form.pdf
2025-11-22,Cannington,CANNG221125form.pdf
2025-11-22,Q Lakeside,QLAKG221125form.pdf
2025-11-22,Sandown,SANDG221125form.pdf
2025-11-26,Taree,TAREG261125form.pdf
2025-11-27,Mount Gambier,MTGG271125form.pdf
2025-11-29,Taree,TAREG291125form.pdf
2025-12-03,Taree,TAREG031225form.pdf
2025-12-10,Taree,TAREG101225form.pdf
2025-12-13,Taree,TAREG131225form.pdf
2025-12-17,Taree,TAREG171225form.pdf
2025-12-20,Taree,TAREG201225form.pdf
2025-12-31,Taree,TAREG311225form.pdf
2026-01-03,Taree,TAREG030126form.pdf
2026-01-06,Launceston,MOWBG060126form.pdf
2026-01-06,Q Straight,QSTRG060126form.pdf
2026-01-06,Warrnambool,WNBLG060126form.pdf
2026-01-07,Angle Park,ANGLG070126form.pdf
2026-01-07,Ballarat,BRATG070126form.pdf
2026-01-07,Dubbo,DUBBG070126form.pdf
2026-01-07,Healesville,HEALG070126form.pdf
2026-01-07,Launceston,MOWBG070126form.pdf
2026-01-07,Maitland,MAITG070126form.pdf
2026-01-07,Mandurah,MANDG070126form.pdf
2026-01-07,Nowra,NOWRG070126form.pdf
2026-01-07,Q Straight,QSTRG070126form.pdf
2026-01-07,Shepparton,SHEPG070126form.pdf
2026-01-07,Warrnambool,WNBLG070126form.pdf
2026-01-10,Taree,TAREG100126form.pdf
2026-01-14,Taree,TAREG140126form.pdf
2026-01-17,TAREE,TAREE170126form.pdf
2026-01-21,Taree,TAREG210126form.pdf
2026-01-22,Q Lakeside,QLAKG220126form.pdf
2026-01-24,Taree,TAREG240126form.pdf
2026-01-28,Taree,TAREG280126form.pdf
2026-01-29,Warrnambool,WNBLG290126form.pdf
2026-03-10,Gawler,GAWLG100326form.pdf
2026-03-10,Healesville,HEALG100326form.pdf
2026-03-10,Maitland,MAITG100326form.pdf
2026-03-10,Nowra,NOWRG100326form.pdf
2026-03-10,Q Parklands,QPRKG100326form.pdf
2026-03-10,Sandown,SANDG100326form.pdf
2026-03-10,Shepparton,SHEPG100326form.pdf
2026-03-10,Warrnambool,WNBLG100326form.pdf
2026-03-11,Taree,TAREG110326form.pdf
2026-03-13,Ladbrokes Q Lakeside,LADBR130326form.pdf
2026-03-14,Taree,TAREG140326form.pdf
2026-03-18,Taree,TAREG180326form.pdf
2026-03-20,Murray Bridge Straight,MBRSG200326form.pdf
2026-03-21,Taree,TAREG210326form.pdf
2026-03-25,Taree,TAREG250326form.pdf
2026-03-28,Taree,TAREG280326form.pdf
2026-04-15,Taree,TAREG150426form.pdf
2026-04-18,Ballarat,BRATG180426form.pdf
2026-04-18,Capalaba,CAPAG180426form.pdf
2026-04-18,Mandurah,MANDG180426form.pdf
2026-04-18,Murray Bridge,MBRGG180426form.pdf
2026-04-18,Richmond,RICHG180426form.pdf
2026-04-18,Rockhampton,ROCKG180426form.pdf
2026-04-18,Sale,SALEG180426form.pdf
2026-04-18,Taree,TAREG180426form.pdf
2026-04-18,Temora,TEMOG180426form.pdf
2026-04-22,Taree,TAREG220426form.pdf
2026-04-25,Taree,TAREG250426form.pdf
2026-04-28,Ballarat,BRATG280426form.pdf
2026-04-28,Launceston,MOWBG280426form.pdf
2026-04-28,Maitland,MAITG280426form.pdf
2026-04-28,Northam,NTHMG280426form.pdf
2026-04-28,Q Straight,QSTRG280426form.pdf
2026-04-28,Sandown,SANDG280426form.pdf
2026-04-28,Shepparton,SHEPG280426form.pdf
2026-04-28,Wagga,WAGGG280426form.pdf
2026-04-28,Warrnambool,WNBLG280426form.pdf
2026-04-29,Taree,TAREG290426form.pdf
2026-05-01,Bendigo,BDGOG010526form.pdf
2026-05-01,Gardens,GARDG010526form.pdf
2026-05-01,Geelong,GEELG010526form.pdf
2026-05-01,Goulburn,GOULG010526form.pdf
2026-05-01,Healesville,HEALG010526form.pdf
2026-05-01,Mandurah,MANDG010526form.pdf
2026-05-01,Q Lakeside,QLAKG010526form.pdf
2026-05-01,Richmond,RICHG010526form.pdf
2026-05-01,Townsville,TOWNG010526form.pdf
2026-05-01,Traralgon,TRARG010526form.pdf
2026-05-01,Wagga,WAGGG010526form.pdf
2026-05-02,Taree,TAREG020526form.pdf
2026-05-05,Ladbrokes Q Lakeside,LADBR050526form.pdf
2026-05-06,Taree,TAREG060526form.pdf
2026-05-08,Ladbrokes Q Lakeside,LADBR080526form.pdf
2026-05-09,Taree,TAREG090526form.pdf
2026-05-12,Ladbrokes Q Lakeside,LADBR120526form.pdf
2026-05-13,Taree,TAREG130526form.pdf
2026-05-15,Ladbrokes Q Lakeside,LADBR150526form.pdf
2026-05-16,Taree,TAREG160526form.pdf
