Date,Track,TargetResultsFile
2025-10-19,Broken Hill,results_2025-10-19.csv
2025-11-12,Cannington,results_2025-11-12.csv
2025-11-23,Darwin,results_2025-11-23.csv
2025-11-26,Hobart,results_2025-11-26.csv
2025-11-29,Hobart,results_2025-11-29.csv
2025-12-03,Hobart,results_2025-12-03.csv
2025-12-10,Hobart,results_2025-12-10.csv
2025-12-12,Bendigo,results_2025-12-12.csv
2025-12-12,Gardens,results_2025-12-12.csv
2025-12-12,Geelong,results_2025-12-12.csv
2025-12-12,Goulburn,results_2025-12-12.csv
2025-12-12,Healesville,results_2025-12-12.csv
2025-12-12,Horsham,results_2025-12-12.csv
2025-12-12,Mandurah,results_2025-12-12.csv
2025-12-12,Murray Bridge,results_2025-12-12.csv
2025-12-12,Q Lakeside,results_2025-12-12.csv
2025-12-12,Richmond,results_2025-12-12.csv
2025-12-12,Townsville,results_2025-12-12.csv
2025-12-12,Wagga,results_2025-12-12.csv
2025-12-13,Hobart,results_2025-12-13.csv
2025-12-17,Hobart,results_2025-12-17.csv
2025-12-20,Hobart,results_2025-12-20.csv
2025-12-27,Hobart,results_2025-12-27.csv
2025-12-31,Hobart,results_2025-12-31.csv
2026-01-03,Hobart,results_2026-01-03.csv
2026-01-06,Bulli,results_2026-01-06.csv
2026-01-06,Casino,results_2026-01-06.csv
2026-01-06,Geelong,results_2026-01-06.csv
2026-01-06,Hobart,results_2026-01-06.csv
2026-01-06,Q Lakeside,results_2026-01-06.csv
2026-01-06,Sandown,results_2026-01-06.csv
2026-01-06,Townsville,results_2026-01-06.csv
2026-01-06,Warragul,results_2026-01-06.csv
2026-01-07,Bendigo,results_2026-01-07.csv
2026-01-07,Cannington,results_2026-01-07.csv
2026-01-07,Capalaba,results_2026-01-07.csv
2026-01-07,Gunnedah,results_2026-01-07.csv
2026-01-07,Hobart,results_2026-01-07.csv
2026-01-07,Q Lakeside,results_2026-01-07.csv
2026-01-07,Richmond,results_2026-01-07.csv
2026-01-07,Rockhampton,results_2026-01-07.csv
2026-01-07,Sale,results_2026-01-07.csv
2026-01-07,Temora,results_2026-01-07.csv
2026-01-10,Hobart,results_2026-01-10.csv
2026-01-10,Wentworth Park,results_2026-01-10.csv
2026-01-14,Hobart,results_2026-01-14.csv
2026-01-17,Hobart,results_2026-01-17.csv
