Track,Race,Result
Casino02/06/26,R1,4832
Casino02/06/26,R2,2781
Casino02/06/26,R3,2368
Casino02/06/26,R4,1437
Casino02/06/26,R5,8134
Casino02/06/26,R6,4217
Casino02/06/26,R7,3425
Casino02/06/26,R8,2874
Casino02/06/26,R9,4385
Casino02/06/26,R10,5412
Bulli02/06/26,R1,1625
Bulli02/06/26,R2,3671
Bulli02/06/26,R3,4618
Bulli02/06/26,R4,6743
Bulli02/06/26,R5,3168
Bulli02/06/26,R6,1856
Bulli02/06/26,R7,3615
Bulli02/06/26,R8,2786
Bulli02/06/26,R9,5781
Bulli02/06/26,R10,6347
Gosford02/06/26,R1,1532
Gosford02/06/26,R2,2586
Gosford02/06/26,R3,6812
Gosford02/06/26,R4,4817
Gosford02/06/26,R5,8741
Gosford02/06/26,R6,6218
Gosford02/06/26,R7,8714
Gosford02/06/26,R8,7416
Gosford02/06/26,R9,6124
Gosford02/06/26,R10,8451
Gosford02/06/26,R11,3851
Gosford02/06/26,R12,4175
Angle Park02/06/26,R1,2814
Angle Park02/06/26,R2,8142
Angle Park02/06/26,R3,1254
Angle Park02/06/26,R4,6821
Angle Park02/06/26,R5,7842
Angle Park02/06/26,R6,4178
Angle Park02/06/26,R7,5718
Angle Park02/06/26,R8,1754
Angle Park02/06/26,R9,8427
Angle Park02/06/26,R10,4261
Angle Park02/06/26,R11,8214
Angle Park02/06/26,R12,8614
Hobart02/06/26,R1,2376
Hobart02/06/26,R2,2568
Hobart02/06/26,R3,5827
Hobart02/06/26,R4,4781
Hobart02/06/26,R5,4817
Hobart02/06/26,R6,7523
Hobart02/06/26,R7,2834
Hobart02/06/26,R8,8571
Hobart02/06/26,R9,5623
Hobart02/06/26,R10,4726
Ladbrokes Q1 Lakeside02/06/26,R1,7134
Ladbrokes Q1 Lakeside02/06/26,R2,1745
Ladbrokes Q1 Lakeside02/06/26,R3,5247
Ladbrokes Q1 Lakeside02/06/26,R4,4932
Ladbrokes Q1 Lakeside02/06/26,R5,2418
Ladbrokes Q1 Lakeside02/06/26,R6,2314
Ladbrokes Q1 Lakeside02/06/26,R7,3814
Ladbrokes Q1 Lakeside02/06/26,R8,2734
Ladbrokes Q1 Lakeside02/06/26,R9,8264
Ladbrokes Q1 Lakeside02/06/26,R10,8124
Ladbrokes Q1 Lakeside02/06/26,R11,6531
Ladbrokes Q1 Lakeside02/06/26,R12,7153
Horsham02/06/26,R1,31076
Horsham02/06/26,R2,2367
Horsham02/06/26,R3,3864
Horsham02/06/26,R4,2867
Horsham02/06/26,R5,3418
Horsham02/06/26,R6,5317
Horsham02/06/26,R7,8236
Horsham02/06/26,R8,1834
Horsham02/06/26,R9,4128
Horsham02/06/26,R10,2768
Horsham02/06/26,R11,1236
Horsham02/06/26,R12,6457
Geelong02/06/26,R1,5684
Geelong02/06/26,R2,4716
Geelong02/06/26,R3,1534
Geelong02/06/26,R4,8413
Geelong02/06/26,R5,2143
Geelong02/06/26,R6,6142
Geelong02/06/26,R7,7148
Geelong02/06/26,R8,4182
Geelong02/06/26,R9,1846
Geelong02/06/26,R10,8354
Geelong02/06/26,R11,7124
Geelong02/06/26,R12,3281
Warragul02/06/26,R1,8162
Warragul02/06/26,R2,6874
Warragul02/06/26,R3,6217
Warragul02/06/26,R4,6874
Warragul02/06/26,R5,1486
Warragul02/06/26,R6,3641
Warragul02/06/26,R7,8143
Warragul02/06/26,R8,2468
Warragul02/06/26,R9,1457
Warragul02/06/26,R10,1586
Warragul02/06/26,R11,1476
Warragul02/06/26,R12,1572
Bet Nation Townsville02/06/26,R1,8726
Bet Nation Townsville02/06/26,R2,3462
Bet Nation Townsville02/06/26,R3,4137
Bet Nation Townsville02/06/26,R4,8273
Bet Nation Townsville02/06/26,R5,8316
Bet Nation Townsville02/06/26,R6,5247
Bet Nation Townsville02/06/26,R7,8721
Bet Nation Townsville02/06/26,R8,2136
Bet Nation Townsville02/06/26,R9,5764
Bet Nation Townsville02/06/26,R10,6318
Bet Nation Townsville02/06/26,R11,1458
Bet Nation Townsville02/06/26,R12,5147
Mandurah02/06/26,R1,6327
Mandurah02/06/26,R2,1328
Mandurah02/06/26,R3,4321
Mandurah02/06/26,R4,7426
Mandurah02/06/26,R5,8314
Mandurah02/06/26,R6,3724
Mandurah02/06/26,R7,3524
Mandurah02/06/26,R8,1286
Mandurah02/06/26,R9,7852
Mandurah02/06/26,R10,1274
Mandurah02/06/26,R11,8746
